,title,price,make,model,year,mileage,fuel_type,engine_power,engine_capacity,transmission,pollution_standard,gearbox,body_type,country_origin,original_owner,no_accident
51,Dacia Duster,9950,Dacia,Duster,2016,194 313 km,Diesel,109 CP,1 461 cm3,Fata,Euro 5,Manuala,SUV,,,
52,Hyundai Elantra 1.6 l 123 CP 6MT Highway,17700,Hyundai,Elantra,2022,38 000 km,Benzina,123 CP,1 598 cm3,,,Manuala,Sedan,,,
53,Citroën SpaceTourer,13700,Citroën,SpaceTourer,2017,228 000 km,Diesel,95 CP,1 560 cm3,Fata,Euro 6,Manuala,Monovolum,Romania,Da,
54,Dacia Sandero 1.5 Blue dCi Laureate,7850,Dacia,Sandero,2020,150 000 km,Diesel,75 CP,1 461 cm3,,,Manuala,Masina de oras,,,
55,BMW X5 xDrive30d,24990,BMW,X5,2014,267 359 km,Diesel,258 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,,
56,Dacia Sandero 1.5 dCI Prestige,5400,Dacia,Sandero,2017,229 000 km,Diesel,90 CP,1 461 cm3,Fata,Euro 6,Manuala,Masina de oras,Franta,,
57,Seat Ibiza ST 1.2 12V Style,4300,Seat,Ibiza,2011,172 000 km,Benzina,70 CP,1 198 cm3,,,Manuala,Masina de oras,,,
58,Mercedes-Benz S 500 4MATIC MHEV Long Aut.,105000,Mercedes-Benz,S,2021,65 432 km,Benzina,435 CP,2 999 cm3,4x4 (automat),Euro 6,Automata,Sedan,,,
59,Ford Focus 1.5 EcoBlue Titanium,17489,Ford,Focus,2020,12 522 km,Diesel,120 CP,1 499 cm3,Fata,Euro 6,Manuala,Compacta,Romania,Da,
60,Mercedes-Benz E 250 CDI BlueEfficiency,10500,Mercedes-Benz,E,2010,240 000 km,Diesel,204 CP,2 143 cm3,Spate,Euro 5,Manuala,Coupe,Belgia,,
61,Renault Clio,3299,Renault,Clio,2013,216 800 km,Diesel,75 CP,1 461 cm3,Fata,Euro 5,Manuala,Combi,,,
62,Audi A4 Avant 2.0 TDI S tronic,19040,Audi,A4,2019,164 000 km,Diesel,190 CP,1 968 cm3,Fata,Euro 6,Automata,Combi,Danemarca,Da,Da
63,Audi RS6 Avant 4.0 TFSI quattro Tiptronic,105000,Audi,RS6,2020,62 991 km,Benzina,600 CP,3 996 cm3,4x4 (automat),Euro 6,Automata,Combi,Romania,Da,Da
64,Citroën DS5 HDi 165 Aut. SportChic,10490,Citroën,DS5,2012,232 931 km,Diesel,163 CP,1 997 cm3,Fata,Euro 5,Automata,Sedan,,Da,Da
65,BMW Seria 2 225e xDrive Active Tourer Aut.,50575,BMW,Seria 2,2023,7 000 km,Hibrid,136 CP,1 499 cm3,4x4 (manual),Euro 6,Automata,Compacta,Germania,Da,Da
66,Dacia Duster,9950,Dacia,Duster,2016,194 313 km,Diesel,109 CP,1 461 cm3,Fata,Euro 5,Manuala,SUV,,,
67,Hyundai Elantra 1.6 l 123 CP 6MT Highway,17700,Hyundai,Elantra,2022,38 000 km,Benzina,123 CP,1 598 cm3,,,Manuala,Sedan,,,
68,Volkswagen Passat,24700,Volkswagen,Passat,2018,118 500 km,Diesel,150 CP,1 968 cm3,Fata,Euro 6,Manuala,Sedan,Germania,,
69,Citroën SpaceTourer,13700,Citroën,SpaceTourer,2017,228 000 km,Diesel,95 CP,1 560 cm3,Fata,Euro 6,Manuala,Monovolum,Romania,Da,
70,Dacia Sandero 1.5 Blue dCi Laureate,7850,Dacia,Sandero,2020,150 000 km,Diesel,75 CP,1 461 cm3,,,Manuala,Masina de oras,,,
71,Mercedes-Benz C 220 d 4Matic 9G-TRONIC AMG Line,34999,Mercedes-Benz,C,2018,87 000 km,Diesel,194 CP,1 950 cm3,4x4 (automat),,Automata,Combi,,,
72,Seat Ibiza ST 1.2 12V Style,4300,Seat,Ibiza,2011,172 000 km,Benzina,70 CP,1 198 cm3,,,Manuala,Masina de oras,,,
73,BMW X3 xDrive30d Aut. M Sport,41638,BMW,X3,2018,109 444 km,Diesel,286 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,,Da
74,Volkswagen Touran,4500,Volkswagen,Touran,2008,278 000 km,Diesel,140 CP,1 968 cm3,,,Manuala,Monovolum,,,
75,Mercedes-Benz S 500 4MATIC MHEV Long Aut.,105000,Mercedes-Benz,S,2021,65 432 km,Benzina,435 CP,2 999 cm3,4x4 (automat),Euro 6,Automata,Sedan,,,
76,Altul Altul,6498,Altul,Altul,2023,,Electric,3 CP,,Spate,,Automata,Masina de oras,China,,Da
77,Suzuki Swift 1.3 GLX,2480,Suzuki,Swift,2006,190 000 km,Benzina,92 CP,1 328 cm3,,,Manuala,Masina de oras,,,
78,Skoda Octavia,29990,Skoda,Octavia,2023,15 km,Benzina,150 CP,1 498 cm3,Fata,Euro 6,Automata,Sedan,,,
79,Dacia Logan,8300,Dacia,Logan,2018,102 169 km,Diesel,75 CP,1 461 cm3,Fata,,Manuala,Sedan,,,
80,Land Rover Defender 110 3.0D 300 X,96157,Land Rover,Defender,2022,16 km,Diesel,300 CP,2 996 cm3,4x4 (automat),Euro 6,Automata,SUV,,,Da
81,Ford EcoSport,4500,Ford,EcoSport,2022,16 000 km,Benzina,125 CP,998 cm3,Fata,,Manuala,SUV,,,
82,Mercedes-Benz CL 600 Aut,21000,Mercedes-Benz,CL,2007,46 000 km,Benzina,517 CP,5 513 cm3,Spate,Euro 4,Automata,Coupe,Romania,Da,Da
83,Dacia Duster dCi 110 FAP 4x4 Prestige,9499,Dacia,Duster,2015,226 000 km,Diesel,109 CP,1 461 cm3,4x4 (manual),Euro 5,Manuala,SUV,,,
84,Skoda Octavia Combi 2.0 TDI Ambition,27499,Skoda,Octavia,2023,3 805 km,Diesel,115 CP,1 968 cm3,Fata,Euro 6,Manuala,Combi,Romania,Da,Da
85,Mercedes-Benz EQB,55771,Mercedes-Benz,EQB,2023,3 000 km,Electric,190 CP,,4x4 (automat),,Automata,SUV,,,Da
86,Fiat 500 Mild Hybrid 1.0 HATCHBACK,14395,Fiat,500,2023,1 km,Benzina,70 CP,999 cm3,Fata,,Manuala,Masina de oras,,,
87,Mercedes-Benz GLA 220 4MATIC,23900,Mercedes-Benz,GLA,2017,105 000 km,Benzina,184 CP,1 991 cm3,4x4 (automat),,Automata,SUV,Germania,,Da
88,Mercedes-Benz C 200 d T 9G-TRONIC AMG Line Advanced,42990,Mercedes-Benz,C,2022,49 000 km,Diesel,163 CP,1 993 cm3,Spate,Euro 6,Automata,Sedan,Germania,,Da
89,Audi A4 Avant 2.0 TDI S tronic,19040,Audi,A4,2019,164 000 km,Diesel,190 CP,1 968 cm3,Fata,Euro 6,Automata,Combi,Danemarca,Da,Da
90,Citroën DS5 HDi 165 Aut. SportChic,10490,Citroën,DS5,2012,232 931 km,Diesel,163 CP,1 997 cm3,Fata,Euro 5,Automata,Sedan,,Da,Da
91,Ford C-Max,2799,Ford,C-Max,2006,264 327 km,Benzina,100 CP,1 596 cm3,Fata,Euro 4,Manuala,Monovolum,,,
92,Hyundai Elantra 1.6 l 123 CP 6MT Highway,17700,Hyundai,Elantra,2022,38 000 km,Benzina,123 CP,1 598 cm3,,,Manuala,Sedan,,,
93,Skoda Octavia,29990,Skoda,Octavia,2023,15 km,Benzina,150 CP,1 498 cm3,Fata,Euro 6,Automata,Sedan,,,
94,Skoda Octavia,13900,Skoda,Octavia,2018,177 333 km,Diesel,116 CP,1 598 cm3,Fata,,Manuala,Sedan,,,
95,Ford EcoSport,4500,Ford,EcoSport,2022,16 000 km,Benzina,125 CP,998 cm3,Fata,,Manuala,SUV,,,
96,Mercedes-Benz CL 600 Aut,21000,Mercedes-Benz,CL,2007,46 000 km,Benzina,517 CP,5 513 cm3,Spate,Euro 4,Automata,Coupe,Romania,Da,Da
97,Mercedes-Benz EQB,55771,Mercedes-Benz,EQB,2023,3 000 km,Electric,190 CP,,4x4 (automat),,Automata,SUV,,,Da
98,Fiat 500 Mild Hybrid 1.0 HATCHBACK,14395,Fiat,500,2023,1 km,Benzina,70 CP,999 cm3,Fata,,Manuala,Masina de oras,,,
99,Volkswagen Passat 2.0 TDI BlueMotion Technology Comfortline,3790,Volkswagen,Passat,2006,290 000 km,Diesel,140 CP,1 968 cm3,Fata,Euro 4,Manuala,Sedan,,,
100,Ford Focus 1.0 EcoBoost ST-Line,11150,Ford,Focus,2017,140 177 km,Benzina,125 CP,999 cm3,Fata,Euro 6,Manuala,Masina de oras,Romania,,
101,Mercedes-Benz GLA 220 4MATIC,23900,Mercedes-Benz,GLA,2017,105 000 km,Benzina,184 CP,1 991 cm3,4x4 (automat),,Automata,SUV,Germania,,Da
102,Mercedes-Benz C 200 d T 9G-TRONIC AMG Line Advanced,42990,Mercedes-Benz,C,2022,49 000 km,Diesel,163 CP,1 993 cm3,Spate,Euro 6,Automata,Sedan,Germania,,Da
103,Mercedes-Benz E 250 CDI BlueEfficiency,10500,Mercedes-Benz,E,2010,240 000 km,Diesel,204 CP,2 143 cm3,Spate,Euro 5,Manuala,Coupe,Belgia,,
104,Audi A4 Avant 2.0 TDI S tronic,19040,Audi,A4,2019,164 000 km,Diesel,190 CP,1 968 cm3,Fata,Euro 6,Automata,Combi,Danemarca,Da,Da
105,Hyundai Staria 2.2 CRDi Signature,46000,Hyundai,Staria,2022,80 000 km,Diesel,177 CP,2 199 cm3,Fata,,Automata,Combi,,,
106,Dacia Logan 1.5 75CP Laureate,6800,Dacia,Logan,2017,161 000 km,Diesel,75 CP,1 461 cm3,,,Manuala,Sedan,,,
107,Dacia Duster,9950,Dacia,Duster,2016,194 313 km,Diesel,109 CP,1 461 cm3,Fata,Euro 5,Manuala,SUV,,,
108,Hyundai Elantra 1.6 l 123 CP 6MT Highway,17700,Hyundai,Elantra,2022,38 000 km,Benzina,123 CP,1 598 cm3,,,Manuala,Sedan,,,
109,Mercedes-Benz A,45942,Mercedes-Benz,A,2023,6 000 km,Benzina,163 CP,1 332 cm3,Fata,Euro 6,Automata,Compacta,,,
110,BMW Seria 2 216d Gran Tourer Sport Line,14999,BMW,Seria 2,2019,195 000 km,Diesel,116 CP,1 496 cm3,Fata,Euro 6,Manuala,Monovolum,Germania,Da,Da
111,BMW iX xDrive40,62990,BMW,iX,2021,22 000 km,Electric,326 CP,,4x4 (automat),,Automata,SUV,,,
112,Dacia Logan,8300,Dacia,Logan,2018,102 169 km,Diesel,75 CP,1 461 cm3,Fata,,Manuala,Sedan,,,
113,Land Rover Defender 110 3.0D 300 X,96157,Land Rover,Defender,2022,16 km,Diesel,300 CP,2 996 cm3,4x4 (automat),Euro 6,Automata,SUV,,,Da
114,Ford EcoSport,4500,Ford,EcoSport,2022,16 000 km,Benzina,125 CP,998 cm3,Fata,,Manuala,SUV,,,
115,Mercedes-Benz EQB,55771,Mercedes-Benz,EQB,2023,3 000 km,Electric,190 CP,,4x4 (automat),,Automata,SUV,,,Da
116,BMW Seria 5 520d,7950,BMW,Seria 5,2009,296 000 km,Diesel,177 CP,1 995 cm3,Spate,Euro 5,Manuala,Sedan,Germania,Da,Da
117,Volkswagen Passat 2.0 TDI BlueMotion Technology Comfortline,3790,Volkswagen,Passat,2006,290 000 km,Diesel,140 CP,1 968 cm3,Fata,Euro 4,Manuala,Sedan,,,
118,Opel Corsa Corsa-e,18900,Opel,Corsa,2021,18 000 km,Electric,136 CP,,,,Automata,Masina de oras,,,
119,BMW X6 xDrive30d,35000,BMW,X6,2016,118 000 km,Diesel,258 CP,2 993 cm3,4x4 (automat),,Automata,SUV,,,
120,Ford Focus 1.0 EcoBoost ST-Line,11150,Ford,Focus,2017,140 177 km,Benzina,125 CP,999 cm3,Fata,Euro 6,Manuala,Masina de oras,Romania,,
121,Mercedes-Benz C 200 d T 9G-TRONIC AMG Line Advanced,42990,Mercedes-Benz,C,2022,49 000 km,Diesel,163 CP,1 993 cm3,Spate,Euro 6,Automata,Sedan,Germania,,Da
122,Mercedes-Benz E 250 CDI BlueEfficiency,10500,Mercedes-Benz,E,2010,240 000 km,Diesel,204 CP,2 143 cm3,Spate,Euro 5,Manuala,Coupe,Belgia,,
123,Renault Clio,3299,Renault,Clio,2013,216 800 km,Diesel,75 CP,1 461 cm3,Fata,Euro 5,Manuala,Combi,,,
124,Audi RS6 Avant 4.0 TFSI quattro Tiptronic,105000,Audi,RS6,2020,62 991 km,Benzina,600 CP,3 996 cm3,4x4 (automat),Euro 6,Automata,Combi,Romania,Da,Da
125,Citroën DS5 HDi 165 Aut. SportChic,10490,Citroën,DS5,2012,232 931 km,Diesel,163 CP,1 997 cm3,Fata,Euro 5,Automata,Sedan,,Da,Da
126,Renault Megane 1.6 16V Dynamique,6950,Renault,Megane,2012,68 921 km,Benzina,110 CP,1 598 cm3,Fata,Euro 5,Manuala,Compacta,Romania,Da,
127,Ford C-Max,2799,Ford,C-Max,2006,264 327 km,Benzina,100 CP,1 596 cm3,Fata,Euro 4,Manuala,Monovolum,,,
128,BMW Seria 2 225e xDrive Active Tourer Aut.,50575,BMW,Seria 2,2023,7 000 km,Hibrid,136 CP,1 499 cm3,4x4 (manual),Euro 6,Automata,Compacta,Germania,Da,Da
129,Mercedes-Benz A,45942,Mercedes-Benz,A,2023,6 000 km,Benzina,163 CP,1 332 cm3,Fata,Euro 6,Automata,Compacta,,,
130,BMW Seria 2 216d Gran Tourer Sport Line,14999,BMW,Seria 2,2019,195 000 km,Diesel,116 CP,1 496 cm3,Fata,Euro 6,Manuala,Monovolum,Germania,Da,Da
131,BMW iX xDrive40,62990,BMW,iX,2021,22 000 km,Electric,326 CP,,4x4 (automat),,Automata,SUV,,,
132,Skoda Octavia,13900,Skoda,Octavia,2018,177 333 km,Diesel,116 CP,1 598 cm3,Fata,,Manuala,Sedan,,,
133,Dacia Logan,8300,Dacia,Logan,2018,102 169 km,Diesel,75 CP,1 461 cm3,Fata,,Manuala,Sedan,,,
134,Land Rover Defender 110 3.0D 300 X,96157,Land Rover,Defender,2022,16 km,Diesel,300 CP,2 996 cm3,4x4 (automat),Euro 6,Automata,SUV,,,Da
135,Ford EcoSport,4500,Ford,EcoSport,2022,16 000 km,Benzina,125 CP,998 cm3,Fata,,Manuala,SUV,,,
136,Mercedes-Benz CL 600 Aut,21000,Mercedes-Benz,CL,2007,46 000 km,Benzina,517 CP,5 513 cm3,Spate,Euro 4,Automata,Coupe,Romania,Da,Da
137,Dacia Duster dCi 110 FAP 4x4 Prestige,9499,Dacia,Duster,2015,226 000 km,Diesel,109 CP,1 461 cm3,4x4 (manual),Euro 5,Manuala,SUV,,,
138,Skoda Octavia Combi 2.0 TDI Ambition,27499,Skoda,Octavia,2023,3 805 km,Diesel,115 CP,1 968 cm3,Fata,Euro 6,Manuala,Combi,Romania,Da,Da
139,Fiat 500 Mild Hybrid 1.0 HATCHBACK,14395,Fiat,500,2023,1 km,Benzina,70 CP,999 cm3,Fata,,Manuala,Masina de oras,,,
140,Opel Corsa Corsa-e,18900,Opel,Corsa,2021,18 000 km,Electric,136 CP,,,,Automata,Masina de oras,,,
141,BMW X6 xDrive30d,35000,BMW,X6,2016,118 000 km,Diesel,258 CP,2 993 cm3,4x4 (automat),,Automata,SUV,,,
142,Mercedes-Benz C 200 d T 9G-TRONIC AMG Line Advanced,42990,Mercedes-Benz,C,2022,49 000 km,Diesel,163 CP,1 993 cm3,Spate,Euro 6,Automata,Sedan,Germania,,Da
143,Renault Clio,3299,Renault,Clio,2013,216 800 km,Diesel,75 CP,1 461 cm3,Fata,Euro 5,Manuala,Combi,,,
144,Hyundai Staria 2.2 CRDi Signature,46000,Hyundai,Staria,2022,80 000 km,Diesel,177 CP,2 199 cm3,Fata,,Automata,Combi,,,
145,Audi RS6 Avant 4.0 TFSI quattro Tiptronic,105000,Audi,RS6,2020,62 991 km,Benzina,600 CP,3 996 cm3,4x4 (automat),Euro 6,Automata,Combi,Romania,Da,Da
146,Ford C-Max,2799,Ford,C-Max,2006,264 327 km,Benzina,100 CP,1 596 cm3,Fata,Euro 4,Manuala,Monovolum,,,
147,Dacia Logan 1.5 75CP Laureate,6800,Dacia,Logan,2017,161 000 km,Diesel,75 CP,1 461 cm3,,,Manuala,Sedan,,,
148,Dacia Duster,9950,Dacia,Duster,2016,194 313 km,Diesel,109 CP,1 461 cm3,Fata,Euro 5,Manuala,SUV,,,
149,BMW iX xDrive40,62990,BMW,iX,2021,22 000 km,Electric,326 CP,,4x4 (automat),,Automata,SUV,,,
150,Skoda Octavia,29990,Skoda,Octavia,2023,15 km,Benzina,150 CP,1 498 cm3,Fata,Euro 6,Automata,Sedan,,,
151,Skoda Octavia,13900,Skoda,Octavia,2018,177 333 km,Diesel,116 CP,1 598 cm3,Fata,,Manuala,Sedan,,,
152,Dacia Logan,8300,Dacia,Logan,2018,102 169 km,Diesel,75 CP,1 461 cm3,Fata,,Manuala,Sedan,,,
153,Ford EcoSport,4500,Ford,EcoSport,2022,16 000 km,Benzina,125 CP,998 cm3,Fata,,Manuala,SUV,,,
154,Mercedes-Benz EQB,55771,Mercedes-Benz,EQB,2023,3 000 km,Electric,190 CP,,4x4 (automat),,Automata,SUV,,,Da
155,BMW Seria 5 520d,7950,BMW,Seria 5,2009,296 000 km,Diesel,177 CP,1 995 cm3,Spate,Euro 5,Manuala,Sedan,Germania,Da,Da
156,Fiat 500 Mild Hybrid 1.0 HATCHBACK,14395,Fiat,500,2023,1 km,Benzina,70 CP,999 cm3,Fata,,Manuala,Masina de oras,,,
157,Volkswagen Passat 2.0 TDI BlueMotion Technology Comfortline,3790,Volkswagen,Passat,2006,290 000 km,Diesel,140 CP,1 968 cm3,Fata,Euro 4,Manuala,Sedan,,,
158,Opel Corsa Corsa-e,18900,Opel,Corsa,2021,18 000 km,Electric,136 CP,,,,Automata,Masina de oras,,,
159,Ford Focus 1.0 EcoBoost ST-Line,11150,Ford,Focus,2017,140 177 km,Benzina,125 CP,999 cm3,Fata,Euro 6,Manuala,Masina de oras,Romania,,
160,Mercedes-Benz GLA 220 4MATIC,23900,Mercedes-Benz,GLA,2017,105 000 km,Benzina,184 CP,1 991 cm3,4x4 (automat),,Automata,SUV,Germania,,Da
161,Mercedes-Benz E 250 CDI BlueEfficiency,10500,Mercedes-Benz,E,2010,240 000 km,Diesel,204 CP,2 143 cm3,Spate,Euro 5,Manuala,Coupe,Belgia,,
162,Citroën DS5 HDi 165 Aut. SportChic,10490,Citroën,DS5,2012,232 931 km,Diesel,163 CP,1 997 cm3,Fata,Euro 5,Automata,Sedan,,Da,Da
163,Dacia Logan 1.5 75CP Laureate,6800,Dacia,Logan,2017,161 000 km,Diesel,75 CP,1 461 cm3,,,Manuala,Sedan,,,
164,Mercedes-Benz A,45942,Mercedes-Benz,A,2023,6 000 km,Benzina,163 CP,1 332 cm3,Fata,Euro 6,Automata,Compacta,,,
165,BMW Seria 2 216d Gran Tourer Sport Line,14999,BMW,Seria 2,2019,195 000 km,Diesel,116 CP,1 496 cm3,Fata,Euro 6,Manuala,Monovolum,Germania,Da,Da
166,Skoda Octavia,29990,Skoda,Octavia,2023,15 km,Benzina,150 CP,1 498 cm3,Fata,Euro 6,Automata,Sedan,,,
