,title,price,make,model,year,mileage,fuel_type,engine_power,engine_capacity,transmission,pollution_standard,gearbox,body_type,country_origin,original_owner,no_accident
33,Mercedes-Benz A,29990,Mercedes-Benz,A,2019,38 300 km,Benzina,136 CP,1 332 cm3,Fata,Euro 6,Automata,Compacta,Romania,Da,Da
34,Land Rover Range Rover Evoque,39892,Land Rover,Range Rover Evoque,2021,79 945 km,Benzina,200 CP,1 997 cm3,4x4 (automat),Euro 6,Automata,SUV,,,Da
35,BMW X4 xDrive20d Aut.,25999,BMW,X4,2015,169 000 km,Diesel,190 CP,1 995 cm3,,,Automata,SUV,,,
36,Volkswagen Golf 1.6 TDI Trendline,13316,Volkswagen,Golf,2019,122 580 km,Diesel,115 CP,1 598 cm3,Fata,,Manuala,Compacta,,,
37,Audi A3,25500,Audi,A3,2021,99 270 km,Benzina,149 CP,1 498 cm3,Fata,,Automata,Compacta,,,
38,Audi Q5,33500,Audi,Q5,2017,208 000 km,Diesel,190 CP,1 968 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,,
39,Mercedes-Benz EQS,115500,Mercedes-Benz,EQS,2023,16 000 km,Electric,292 CP,,,,Automata,Sedan,Germania,Da,Da
40,Dacia Logan 1.5 Blue dCi Laureate,7990,Dacia,Logan,2018,108 400 km,Diesel,75 CP,1 461 cm3,Fata,Euro 6,Manuala,Sedan,Romania,Da,Da
41,BMW X6 xDrive30d,27800,BMW,X6,2016,239 000 km,Diesel,286 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,,
42,Skoda Roomster,2800,Skoda,Roomster,2006,231 000 km,Benzina,105 CP,1 600 cm3,Fata,Euro 4,Manuala,Monovolum,,,
43,BMW M2 M240i xDrive Coupe Sport-Aut.,39900,BMW,M2,2018,65 000 km,Benzina,340 CP,2 998 cm3,,,Automata,Coupe,,,
44,Ford Mondeo 2.0 Hybrid,22491,Ford,Mondeo,2019,60 396 km,Hibrid,187 CP,1 999 cm3,Fata,Euro 6,Automata,Sedan,Italia,Da,Da
45,Lexus Seria NX 300h AWD Business Plus,25900,Lexus,Seria NX,2017,185 000 km,Hibrid,155 CP,2 494 cm3,4x4 (automat),Euro 6,Automata,SUV,,,
46,Dacia Duster 1.5 dCi 4x4 Prestige,7999,Dacia,Duster,2011,234 000 km,Diesel,110 CP,1 461 cm3,4x4 (manual),Euro 5,Manuala,SUV,Germania,Da,Da
47,BMW Seria 3,13990,BMW,Seria 3,2013,234 874 km,Diesel,183 CP,1 995 cm3,4x4 (automat),Euro 5,Automata,Sedan,Germania,,Da
48,Kia Sportage 1.6 GDI 2WD SPIRIT,13970,Kia,Sportage,2016,83 000 km,Benzina,132 CP,1 591 cm3,Fata,Euro 6,Manuala,SUV,,,
49,BMW Seria 5 525d Touring Aut. Sport Line,26999,BMW,Seria 5,2019,215 000 km,Diesel,231 CP,1 995 cm3,Spate,Euro 6,Automata,Sedan,Germania,Da,Da
50,Nissan Qashqai+2,9699,Nissan,Qashqai+2,2012,172 032 km,Diesel,150 CP,1 995 cm3,,,Automata,SUV,,,
51,Peugeot 508 SW 1.5 BlueHDI S&S EAT8 Allure Pack,19500,Peugeot,508,2020,149 900 km,Diesel,130 CP,1 499 cm3,Fata,Euro 6,Automata,Combi,,,
52,Maserati Altul,43990,Maserati,Altul,2018,76 792 km,Diesel,275 CP,2 987 cm3,4x4 (automat),Euro 6,Automata,SUV,Romania,Da,
53,BMW Seria 1 118i Aut. Edition M Sport Shadow,18450,BMW,Seria 1,2019,185 000 km,Benzina,136 CP,1 499 cm3,Spate,Euro 6,Automata,Compacta,Olanda,,Da
54,Renault Clio V Blue dCi Life,9450,Renault,Clio,2020,113 800 km,Diesel,85 CP,1 461 cm3,Fata,Euro 6,Manuala,Masina de oras,Romania,Da,
55,Mercedes-Benz GLE Coupe 350 d 4MATIC,39899,Mercedes-Benz,GLE Coupe,2016,172 644 km,Diesel,258 CP,2 987 cm3,4x4 (automat),Euro 6,Automata,SUV,,,
56,Mercedes-Benz ML,5150,Mercedes-Benz,ML,2002,344 000 km,Diesel,163 CP,2 688 cm3,4x4 (automat),,Automata,SUV,,,
57,Volvo V40 D2,8990,Volvo,V40,2016,240 000 km,Diesel,120 CP,1 969 cm3,,,Manuala,Compacta,,,
58,Volkswagen Tiguan 2.0 TDI DPF DSG 4Mot Comfortline,22000,Volkswagen,Tiguan,2018,165 200 km,Diesel,150 CP,1 968 cm3,4x4 (automat),Euro 6,Automata,SUV,Italia,,Da
59,Audi SQ5,46980,Audi,SQ5,2018,66 000 km,Benzina,354 CP,2 995 cm3,4x4 (automat),Euro 6,Automata,SUV,Romania,Da,Da
60,BMW Seria 5 520d xDrive AT,35900,BMW,Seria 5,2018,69 700 km,Diesel,190 CP,1 995 cm3,4x4 (automat),,Automata,Sedan,,,
61,Toyota Land Cruiser 4.5 D-4D V8 Luxury,29900,Toyota,Land Cruiser,2010,317 000 km,Diesel,286 CP,4 461 cm3,4x4 (automat),Euro 4,Automata,SUV,Germania,Da,Da
62,Skoda Fabia,2500,Skoda,Fabia,2008,172 546 km,Diesel,70 CP,1 422 cm3,,,Manuala,Compacta,,,
63,Audi Q5 2.0 TFSI S tronic Sport,29989,Audi,Q5,2020,70 000 km,Benzina,251 CP,1 984 cm3,4x4 (automat),Euro 6d-Temp,Automata,SUV,Romania,Da,Da
64,Volkswagen T-ROC 2.0 TDI 4Mot DSG Style,19496,Volkswagen,T-ROC,2019,220 856 km,Diesel,150 CP,1 968 cm3,4x4 (automat),Euro 6,Automata,SUV,Franta,,
65,Opel Vivaro,10500,Opel,Vivaro,2012,288 540 km,Diesel,114 CP,1 995 cm3,,,Manuala,Monovolum,,,
66,Mercedes-Benz A 250 e 8G-DCT Edition 2021,34900,Mercedes-Benz,A,2021,47 200 km,Hibrid,160 CP,1 332 cm3,Fata,,Automata,Compacta,,,
67,Mercedes-Benz C 200 T-modell Diesel,4900,Mercedes-Benz,C,2008,310 000 km,Diesel,136 CP,2 148 cm3,Spate,Euro 4,Manuala,Combi,,,
68,Land Rover Discovery Sport 2.0 l SD4 HSE Luxury Aut.,18500,Land Rover,Discovery Sport,2018,180 000 km,Diesel,241 CP,1 999 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,,Da
69,Audi S3 2.0 TFSI quattro S tronic,34990,Audi,S3,2018,99 000 km,Benzina,310 CP,1 984 cm3,,,Automata,Sedan,,,
70,Renault Megane,13989,Renault,Megane,2018,69 589 km,Diesel,116 CP,1 461 cm3,Fata,,Manuala,Combi,,,Da
71,Ford Mondeo 2.0 Hybrid,17990,Ford,Mondeo,2019,88 739 km,Hibrid,187 CP,1 999 cm3,Fata,Euro 6,Automata,Sedan,Romania,Da,
72,Renault Scenic 1.9dCi Privilege,4950,Renault,Scenic,2010,225 414 km,Diesel,130 CP,1 870 cm3,Fata,Euro 5,Manuala,Monovolum,,,
73,Nissan X-Trail,14250,Nissan,X-Trail,2015,181 143 km,Diesel,130 CP,1 598 cm3,Fata,,Automata,SUV,,,Da
74,Volvo S60 D4 DRIVe Momentum,15350,Volvo,S60,2017,156 000 km,Diesel,190 CP,1 969 cm3,Fata,Euro 6,Automata,Sedan,Franta,,Da
75,Hyundai ix35,9450,Hyundai,ix35,2010,190 689 km,Diesel,184 CP,1 995 cm3,4x4 (manual),,Manuala,SUV,,,Da
76,BMW X1 xDrive25d,13299,BMW,X1,2014,172 239 km,Diesel,218 CP,1 995 cm3,4x4 (manual),,Manuala,SUV,,,Da
77,Mitsubishi Outlander 2.2 DI-D AWD A/T Instyle S62,11400,Mitsubishi,Outlander,2013,179 815 km,Diesel,150 CP,2 268 cm3,4x4 (automat),,Automata,SUV,,,Da
78,Hyundai ix35 2.0 CRDI High 4WD GLS Aut. Premium,11250,Hyundai,ix35,2012,148 543 km,Diesel,184 CP,1 995 cm3,4x4 (automat),,Automata,SUV,,,Da
79,BMW X6 xDrive30d AT MHEV,87322,BMW,X6,2022,20 500 km,Diesel,286 CP,2 993 cm3,4x4 (automat),,Automata,SUV,,,
80,Skoda Octavia Combi 2.0 TDI (Green tec) 4x4 DSG Scout,16990,Skoda,Octavia,2020,237 000 km,Diesel,184 CP,1 968 cm3,4x4 (automat),Euro 6d-Temp,Automata,Combi,Germania,Da,Da
81,Audi A6 Avant 40 TDI quattro S tronic,39000,Audi,A6,2019,75 000 km,Diesel,204 CP,1 968 cm3,Fata,Euro 6b,Automata,Combi,,,
82,Fiat 500 1.0 GSE Hybrid,13249,Fiat,500,2022,1 km,Benzina,70 CP,999 cm3,Fata,Euro 6,Manuala,Masina mica,Romania,,Da
83,Volkswagen Tiguan 2.0 TSI 4Motion DSG Sport&Style,11950,Volkswagen,Tiguan,2012,182 289 km,Benzina,180 CP,1 984 cm3,4x4 (automat),,Automata,SUV,,,Da
84,Mitsubishi Outlander 2.2 DI-D AWD A/T Instyle S62,11400,Mitsubishi,Outlander,2013,179 815 km,Diesel,150 CP,2 268 cm3,4x4 (automat),,Automata,SUV,,,Da
85,BMW X5 xDrive30d,31449,BMW,X5,2016,189 593 km,Diesel,258 CP,2 993 cm3,4x4 (automat),,Automata,SUV,,,Da
86,Mitsubishi Outlander 2.2 DI-D 4WD TC-SST Instyle A60,11750,Mitsubishi,Outlander,2012,172 292 km,Diesel,156 CP,2 179 cm3,4x4 (automat),,Automata,SUV,,,Da
87,Hyundai ix35 2.0 CRDI High 4WD GLS Aut. Premium,11250,Hyundai,ix35,2012,148 543 km,Diesel,184 CP,1 995 cm3,4x4 (automat),,Automata,SUV,,,Da
88,Mercedes-Benz GLC Coupe 300 de 4Matic 9G-TRONIC AMG Line Advanced,98611,Mercedes-Benz,GLC Coupe,2023,10 km,Hibrid,197 CP,1 993 cm3,4x4 (automat),Euro 6d,Automata,SUV,,Da,Da
89,BMW X6 xDrive30d AT MHEV,87322,BMW,X6,2022,20 500 km,Diesel,286 CP,2 993 cm3,4x4 (automat),,Automata,SUV,,,
90,Audi A6 Avant 40 TDI quattro S tronic,39000,Audi,A6,2019,75 000 km,Diesel,204 CP,1 968 cm3,Fata,Euro 6b,Automata,Combi,,,
91,Fiat 500 1.0 GSE Hybrid,13249,Fiat,500,2022,1 km,Benzina,70 CP,999 cm3,Fata,Euro 6,Manuala,Masina mica,Romania,,Da
92,Audi e-tron quattro S,94500,Audi,e-tron,2021,4 917 km,Electric,435 CP,,4x4 (automat),,Automata,Sedan,,,
93,Renault Megane,13400,Renault,Megane,2020,98 007 km,Diesel,95 CP,1 461 cm3,Fata,,Manuala,Sedan,,,
94,Mercedes-Benz EQB 300 4MATIC,59899,Mercedes-Benz,EQB,2022,4 065 km,Electric,228 CP,,4x4 (automat),Euro 6d-Temp,Automata,SUV,Romania,Da,Da
95,Renault Kadjar,13950,Renault,Kadjar,2018,181 485 km,Benzina,130 CP,1 197 cm3,Fata,,Automata,SUV,,,Da
96,Hyundai ix35,12750,Hyundai,ix35,2014,198 759 km,Diesel,136 CP,1 995 cm3,4x4 (automat),,Automata,SUV,,,Da
97,Mercedes-Benz CLS AMG 53 MHEV 4MATIC+ Aut,128717,Mercedes-Benz,CLS,2023,7 km,Benzina,435 CP,2 999 cm3,4x4 (automat),Euro 6,Automata,Coupe,Romania,Da,
98,Mazda CX-30 X180 MHEV 2WD 6MT GT Plus,22996,Mazda,CX-30,2020,34 521 km,Benzina,180 CP,1 998 cm3,Fata,Euro 6,Manuala,SUV,,Da,Da
99,Suzuki Across,43200,Suzuki,Across,2023,2 km,Benzina,182 CP,2 487 cm3,,Euro 6,Automata,SUV,,,Da
100,Land Rover Range Rover Evoque 2.2 TD4 Pure,13950,Land Rover,Range Rover Evoque,2013,197 300 km,Diesel,150 CP,2 179 cm3,4x4 (manual),,Manuala,SUV,,,Da
101,BMW Seria 5 525d xDrive Touring,13450,BMW,Seria 5,2012,198 338 km,Diesel,218 CP,1 995 cm3,4x4 (automat),,Automata,Combi,,,Da
102,Volkswagen Passat CC,12350,Volkswagen,Passat CC,2012,177 606 km,Diesel,140 CP,1 968 cm3,Fata,Euro 5,Automata,Sedan,Franta,Da,Da
103,Audi A4 2.0 TDI B8 Multitronic,11250,Audi,A4,2011,176 910 km,Diesel,143 CP,1 968 cm3,Spate,,Automata,Sedan,,,Da
104,BMW X4 xDrive30d MHEV,44500,BMW,X4,2021,103 043 km,Diesel,286 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,Romania,Da,Da
105,BMW Seria 3 320d Touring,4340,BMW,Seria 3,2007,318 000 km,Diesel,163 CP,1 995 cm3,Spate,Euro 4,Manuala,Combi,Germania,,
106,Mercedes-Benz C,39900,Mercedes-Benz,C,2020,27 992 km,Benzina,183 CP,1 497 cm3,Spate,Euro 6,Automata,Sedan,Romania,Da,Da
107,Peugeot 308 SW 1.2 L PureTech Turbo Allure,7800,Peugeot,308,2014,230 000 km,Benzina,130 CP,1 199 cm3,Fata,Euro 6,Manuala,Combi,,,Da
108,Ford C-Max 1.0 EcoBoost Start-Stopp-System Business Edition,4990,Ford,C-Max,2013,165 000 km,Benzina,100 CP,998 cm3,Fata,Euro 5,Manuala,Monovolum,,,
109,BMW i8 Standard,69800,BMW,i8,2017,79 600 km,Hibrid,231 CP,1 499 cm3,,,Automata,Coupe,Germania,,Da
110,Kia XCeed 1.5 T-GDI 7DCT Style,31500,Kia,XCeed,2023,4 870 km,Benzina,160 CP,1 482 cm3,Fata,Euro 6,Automata,SUV,Romania,Da,Da
111,Ford Focus 1.5 TDCi Powershift Titanium,9300,Ford,Focus,2016,97 150 km,Diesel,120 CP,1 498 cm3,Fata,Euro 5,Automata,Sedan,Romania,Da,
112,Mercedes-Benz C 220 d 4M T-Modell Aut.,23500,Mercedes-Benz,C,2017,115 000 km,Diesel,170 CP,2 143 cm3,4x4 (automat),,Automata,Masina mica,,,
113,Skoda Karoq,16450,Skoda,Karoq,2019,187 000 km,Diesel,116 CP,1 598 cm3,Fata,Euro 6,Automata,SUV,Belgia,,Da
114,Audi A4 2.0 TDI Multitronic,10200,Audi,A4,2014,267 000 km,Diesel,150 CP,1 968 cm3,,,Automata,Sedan,,,
115,Alfa Romeo Mito TB 1.4 16V MultiAir Quadrifoglio Verde,5850,Alfa Romeo,Mito,2010,189 062 km,Benzina,170 CP,1 368 cm3,Fata,Euro 5,Manuala,Masina de oras,Germania,,
116,Mercedes-Benz C,17900,Mercedes-Benz,C,2014,171 000 km,Diesel,170 CP,2 143 cm3,4x4 (automat),,Automata,Sedan,,,
117,Skoda Octavia,7150,Skoda,Octavia,2014,273 000 km,Benzina,105 CP,1 197 cm3,Fata,,Manuala,Combi,,,
118,Ford Galaxy,3700,Ford,Galaxy,2007,264 964 km,Diesel,140 CP,1 998 cm3,,,Manuala,Monovolum,,,
119,Ford Focus 1.0 EcoBoost Connected,6990,Ford,Focus,2018,74 000 km,Benzina,100 CP,999 cm3,Fata,,Manuala,Compacta,,,
120,Mercedes-Benz CLS 350 CDI BlueTEC 4MATIC Aut,26900,Mercedes-Benz,CLS,2014,158 865 km,Diesel,258 CP,2 987 cm3,4x4 (automat),,Automata,Coupe,,,
121,Volkswagen Passat Variant 1.4 TSI Plug-In-Hybrid DSG GTE,21700,Volkswagen,Passat,2020,126 767 km,Hibrid,156 CP,1 395 cm3,Fata,,Automata,Combi,,,
122,Skoda Octavia Combi 2.0 TDI 4x4 DSG RS,15999,Skoda,Octavia,2016,172 400 km,Diesel,184 CP,1 968 cm3,4x4 (automat),Euro 6,Automata,Combi,Germania,,Da
123,Hyundai Tucson 2.0 CRDi 4WD Automatik Premium,18750,Hyundai,Tucson,2016,151 780 km,Diesel,185 CP,1 995 cm3,4x4 (manual),Euro 6,Automata,SUV,,,
124,Mercedes-Benz EQE 500 4MATIC,125110,Mercedes-Benz,EQE,2023,1 km,Electric,408 CP,,4x4 (automat),Euro 6d-Temp,Automata,SUV,,,Da
125,Ford Focus 1.5 EcoBlue Trend,15999,Ford,Focus,2021,23 235 km,Diesel,120 CP,1 499 cm3,Fata,,Manuala,Compacta,,,Da
126,Nissan Qashqai 1.6 DCI Start/Stop X-TRONIC Acenta,15699,Nissan,Qashqai,2018,172 709 km,Diesel,130 CP,1 598 cm3,Fata,,Automata,SUV,,,Da
127,BMW X1 xDrive18d,10450,BMW,X1,2011,171 947 km,Diesel,143 CP,1 995 cm3,4x4 (manual),,Manuala,SUV,,,Da
128,Volkswagen Tiguan 2.0 TDI DPF DSG 4Mot Comfortline,24799,Volkswagen,Tiguan,2018,83 585 km,Diesel,150 CP,1 968 cm3,4x4 (automat),,Automata,SUV,,,Da
129,Volkswagen Passat Variant 1.4 TSI Comfortline,4950,Volkswagen,Passat,2009,210 000 km,Benzina,122 CP,1 390 cm3,Fata,Euro 4,Manuala,Combi,,,
130,Skoda Octavia Combi Diesel 1.6 TDI DSG Style,14748,Skoda,Octavia,2018,132 650 km,Diesel,116 CP,1 598 cm3,Fata,,Automata,Combi,,,Da
131,BMW Seria 3,19000,BMW,Seria 3,2017,198 000 km,Diesel,190 CP,1 998 cm3,4x4 (automat),Euro 6,Automata,Combi,Germania,,Da
132,Renault Megane Estate 1.5 dCI EDC Zen,12649,Renault,Megane,2018,133 496 km,Diesel,110 CP,1 461 cm3,Fata,,Automata,Combi,,,Da
133,Skoda Superb 2.0 TDI DSG Ambition,24799,Skoda,Superb,2018,19 508 km,Diesel,150 CP,1 968 cm3,Fata,,Automata,Sedan,,,Da
134,Land Rover Range Rover Sport 3.0 I S/C HSE,46999,Land Rover,Range Rover Sport,2018,24 800 km,Benzina,340 CP,2 995 cm3,4x4 (automat),Euro 6,Automata,SUV,Belgia,Da,Da
135,Seat Leon 1.4 TSI Ecomotive Style,6450,Seat,Leon,2012,238 000 km,Benzina,122 CP,1 395 cm3,Fata,Euro 5,Manuala,Compacta,Germania,,Da
136,Ford Mondeo 2.0 TDCi Powershift ST Line High,16199,Ford,Mondeo,2018,164 843 km,Diesel,150 CP,1 997 cm3,Fata,,Automata,Sedan,,,Da
137,Skoda RAPID Spaceback 1.6 TDI Monte Carlo,11990,Skoda,RAPID,2017,189 000 km,Diesel,116 CP,1 598 cm3,Fata,Euro 6,Manuala,Combi,Germania,Da,Da
138,Skoda Octavia,19999,Skoda,Octavia,2021,190 000 km,Diesel,150 CP,1 968 cm3,Fata,Euro 6b,Automata,Combi,Germania,Da,
139,Honda Civic 2.0 e:HEV E-CVT Sport,36690,Honda,Civic,2023,10 000 km,Hibrid,143 CP,1 993 cm3,Fata,,Automata,Compacta,,,
140,Toyota C-HR,21950,Toyota,C-HR,2018,89 100 km,Hibrid,98 CP,1 798 cm3,Fata,Euro 6,Automata,SUV,Olanda,,
141,Nissan Qashqai,7200,Nissan,Qashqai,2011,220 000 km,Diesel,150 CP,1 995 cm3,,,Automata,SUV,,,
142,BMW M5 Competition,120904,BMW,M5,2023,6 000 km,Benzina,625 CP,4 395 cm3,4x4 (automat),,Automata,Sedan,,,
143,Volvo XC 40,51056,Volvo,XC 40,2023,10 km,Hibrid,180 CP,1 477 cm3,Fata,,Automata,SUV,Suedia,,
144,Tesla Model X Maximale Reichweite,64141,Tesla,Model X,2020,76 000 km,Electric,572 CP,,4x4 (manual),,Automata,SUV,,Da,Da
145,Mercedes-Benz S,169319,Mercedes-Benz,S,2023,1 km,Hibrid,435 CP,2 999 cm3,4x4 (automat),Euro 6,Automata,Sedan,Germania,,Da
146,Volkswagen Golf 1.6 TDI DSG Comfortline,15589,Volkswagen,Golf,2018,171 100 km,Diesel,115 CP,1 598 cm3,Fata,Euro 6,Automata,Compacta,Germania,Da,
147,Volkswagen Golf 2.0 TSI DSG 4Motion R,46410,Volkswagen,Golf,2022,52 000 km,Benzina,320 CP,1 984 cm3,4x4 (automat),,Automata,Compacta,Romania,Da,Da
148,Mercedes-Benz EQA 300 4MATIC,63362,Mercedes-Benz,EQA,2023,7 km,Electric,228 CP,,4x4 (automat),Euro 6d-Temp,Automata,SUV,,,
149,Mercedes-Benz EQE,130381,Mercedes-Benz,EQE,2023,2 km,Electric,408 CP,,4x4 (automat),Euro 6,Automata,SUV,,,Da
150,Renault Clio,7350,Renault,Clio,2019,153 000 km,Diesel,75 CP,1 461 cm3,,Euro 6,Manuala,Masina de oras,Romania,Da,Da
151,Ford Mustang Mach-E,59999,Ford,Mustang Mach-E,2022,5 000 km,Electric,351 CP,,,Euro 6,Automata,Masina de oras,,,Da
152,Skoda Karoq 2.0 TDI 4X4 Style,20000,Skoda,Karoq,2019,113 226 km,Diesel,150 CP,1 968 cm3,4x4 (automat),Euro 6,Manuala,SUV,Romania,,Da
153,Audi Q8 55 TFSI quattro tiptronic,77559,Audi,Q8,2020,27 700 km,Benzina,340 CP,2 995 cm3,4x4 (automat),Euro 6,Automata,SUV,,Da,Da
154,Peugeot 3008,26763,Peugeot,3008,2018,64 994 km,Diesel,177 CP,1 997 cm3,,Euro 6,Automata,SUV,,Da,Da
155,Porsche Cayenne Coupe S,85900,Porsche,Cayenne Coupe,2020,91 500 km,Benzina,440 CP,2 894 cm3,4x4 (automat),,Automata,Coupe,Romania,Da,
156,Audi Q5,59900,Audi,Q5,2022,1 km,Diesel,204 CP,1 968 cm3,4x4 (manual),Euro 6,Automata,SUV,,,Da
157,Honda CR-V,28300,Honda,CR-V,2019,74 469 km,Benzina,193 CP,1 498 cm3,4x4 (automat),Euro 6,Automata,SUV,,,Da
158,BMW Seria 2 225xe AT M Sport,26000,BMW,Seria 2,2018,41 052 km,Hibrid,136 CP,1 499 cm3,4x4 (automat),Euro 6,Automata,Compacta,Romania,Da,
159,Volvo V40 D2,8450,Volvo,V40,2013,191 000 km,Diesel,115 CP,1 560 cm3,Fata,Euro 5,Manuala,Compacta,Belgia,,Da
160,Opel Astra Twin Top 1.8 Edition,3399,Opel,Astra,2009,176 000 km,Benzina,140 CP,1 796 cm3,,,Manuala,Cabrio,,,
