,title,price,make,model,year,mileage,fuel_type,engine_power,engine_capacity,transmission,pollution_standard,gearbox,body_type,country_origin,original_owner,no_accident
11,Audi A8,89768,Audi,A8,2021,35 100 km,Diesel,286 CP,2 967 cm3,4x4 (automat),Euro 6,Automata,Sedan,,Da,Da
12,Ford Focus 1.0 EcoBoost Titanium,12399,Ford,Focus,2019,117 000 km,Benzina,125 CP,999 cm3,Fata,Euro 6,Manuala,Compacta,,,
13,Opel Mokka 1.2 Turbo Start/Stop Elegance,23502,Opel,Mokka,2023,,Benzina,130 CP,1 199 cm3,Fata,Euro 6,Manuala,SUV,Romania,Da,Da
14,Opel Astra 1.6 Cosmo,4300,Opel,Astra,2010,138 000 km,Benzina,116 CP,1 598 cm3,Fata,Euro 5,Manuala,Compacta,Romania,,
15,Mercedes-Benz G 350 BlueTEC,49900,Mercedes-Benz,G,2012,250 000 km,Diesel,211 CP,2 987 cm3,4x4 (automat),Euro 5,Automata,SUV,,,Da
16,Volkswagen Polo 1.2 Attractive,2750,Volkswagen,Polo,2008,236 100 km,Benzina,64 CP,1 198 cm3,,,Manuala,Masina de oras,,,
17,Volkswagen Golf 1.4 TSI DSG Highline,7950,Volkswagen,Golf,2009,147 000 km,Benzina,122 CP,1 390 cm3,Fata,Euro 5,Automata,Compacta,Germania,Da,Da
18,Volkswagen Golf 1.6 TDI BlueMotion Technology Trendline,4599,Volkswagen,Golf,2012,272 000 km,Diesel,110 CP,1 598 cm3,,,Manuala,Combi,,,
19,Audi A3 35 TFSI Sportback advanced,22610,Audi,A3,2022,80 851 km,Benzina,150 CP,1 498 cm3,Fata,Euro 6d-Temp,Manuala,Compacta,,Da,Da
20,Mercedes-Benz GLK 220 CDI (BlueEFFICIENCY),6800,Mercedes-Benz,GLK,2012,264 000 km,Diesel,170 CP,2 143 cm3,Spate,Euro 5,Manuala,SUV,Germania,,
21,Skoda Octavia 2.0 TDI DSG Style,17838,Skoda,Octavia,2017,108 887 km,Diesel,150 CP,1 968 cm3,Fata,Euro 6,Automata,Sedan,,Da,Da
22,Ford Mondeo 2.0 TDCi Trend,4500,Ford,Mondeo,2008,242 000 km,Diesel,140 CP,1 997 cm3,Fata,,Manuala,Sedan,,,
23,Lynk&Co 01,32118,Lynk&Co,01,2021,36 687 km,Hibrid,179 CP,1 477 cm3,Fata,Euro 6,Automata,SUV,Germania,Da,Da
24,Mercedes-Benz GLC Coupe,63288,Mercedes-Benz,GLC Coupe,2020,66 674 km,Diesel,331 CP,2 925 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
25,Mercedes-Benz GLC Coupe,49989,Mercedes-Benz,GLC Coupe,2019,76 240 km,Diesel,204 CP,2 143 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
26,Mazda 3 SKYACTIV-D 150 Automatik Sports-Line,11750,Mazda,3,2014,167 000 km,Diesel,150 CP,2 184 cm3,Fata,Euro 6,Automata,Compacta,Italia,Da,Da
27,Volkswagen Golf 1.9 TDI Trendline,5250,Volkswagen,Golf,2008,151 256 km,Diesel,105 CP,1 896 cm3,Fata,Euro 4,Manuala,Compacta,Germania,Da,Da
28,Volkswagen Golf,12497,Volkswagen,Golf,2016,145 902 km,Benzina,115 CP,999 cm3,Fata,Euro 6,Manuala,Compacta,Germania,,
29,BMW X5,15300,BMW,X5,2013,235 000 km,Diesel,286 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,Statele Unite ale Americii,Da,
30,Audi A8,89768,Audi,A8,2021,35 100 km,Diesel,286 CP,2 967 cm3,4x4 (automat),Euro 6,Automata,Sedan,,Da,Da
31,Ford Focus 1.0 EcoBoost Titanium,12399,Ford,Focus,2019,117 000 km,Benzina,125 CP,999 cm3,Fata,Euro 6,Manuala,Compacta,,,
32,Opel Mokka 1.2 Turbo Start/Stop Elegance,23502,Opel,Mokka,2023,,Benzina,130 CP,1 199 cm3,Fata,Euro 6,Manuala,SUV,Romania,Da,Da
33,Opel Astra 1.6 Cosmo,4300,Opel,Astra,2010,138 000 km,Benzina,116 CP,1 598 cm3,Fata,Euro 5,Manuala,Compacta,Romania,,
34,Mercedes-Benz G 350 BlueTEC,49900,Mercedes-Benz,G,2012,250 000 km,Diesel,211 CP,2 987 cm3,4x4 (automat),Euro 5,Automata,SUV,,,Da
35,Land Rover Range Rover 3.6 TDV8,14000,Land Rover,Range Rover,2010,255 634 km,Diesel,272 CP,3 628 cm3,4x4 (automat),Euro 4,Automata,SUV,Belgia,Da,Da
36,Volkswagen Polo 1.2 Attractive,2750,Volkswagen,Polo,2008,236 100 km,Benzina,64 CP,1 198 cm3,,,Manuala,Masina de oras,,,
37,Peugeot 3008 2.0 BlueHDI S&S EAT6 GT,17500,Peugeot,3008,2018,266 670 km,Diesel,180 CP,1 997 cm3,Fata,Euro 6,Automata,SUV,Italia,,
38,Volkswagen Golf 1.4 TSI DSG Highline,7950,Volkswagen,Golf,2009,147 000 km,Benzina,122 CP,1 390 cm3,Fata,Euro 5,Automata,Compacta,Germania,Da,Da
39,Volkswagen Golf 1.6 TDI BlueMotion Technology Trendline,4599,Volkswagen,Golf,2012,272 000 km,Diesel,110 CP,1 598 cm3,,,Manuala,Combi,,,
40,Audi A3 35 TFSI Sportback advanced,22610,Audi,A3,2022,80 851 km,Benzina,150 CP,1 498 cm3,Fata,Euro 6d-Temp,Manuala,Compacta,,Da,Da
41,Skoda Octavia 2.0 TDI DSG Style,17838,Skoda,Octavia,2017,108 887 km,Diesel,150 CP,1 968 cm3,Fata,Euro 6,Automata,Sedan,,Da,Da
42,Mercedes-Benz GLC 300 de 4Matic 9G-TRONIC AMG Line Advanced,58298,Mercedes-Benz,GLC,2021,5 000 km,Hibrid,197 CP,1 993 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
43,Skoda Fabia 1.0 TSI Ambition,10800,Skoda,Fabia,2020,42 160 km,Benzina,95 CP,999 cm3,Fata,Euro 6,Manuala,Compacta,Romania,Da,Da
44,Lynk&Co 01,32118,Lynk&Co,01,2021,36 687 km,Hibrid,179 CP,1 477 cm3,Fata,Euro 6,Automata,SUV,Germania,Da,Da
45,Mercedes-Benz GLC Coupe,63288,Mercedes-Benz,GLC Coupe,2020,66 674 km,Diesel,331 CP,2 925 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
46,Audi A4,28101,Audi,A4,2019,70 510 km,Diesel,190 CP,1 968 cm3,,,Automata,Combi,,,
47,Mazda CX-60,59490,Mazda,CX-60,2022,1 km,Hibrid,327 CP,2 488 cm3,4x4 (automat),Euro 6,Automata,SUV,Japonia,,Da
48,Volkswagen Golf 1.9 TDI Trendline,5250,Volkswagen,Golf,2008,151 256 km,Diesel,105 CP,1 896 cm3,Fata,Euro 4,Manuala,Compacta,Germania,Da,Da
49,Toyota Land Cruiser 2.8l D-4D 204 CP A/T 5 locuri,70733,Toyota,Land Cruiser,2022,10 km,Diesel,204 CP,2 755 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
50,Opel Mokka 1.2 Turbo Start/Stop Elegance,23502,Opel,Mokka,2023,,Benzina,130 CP,1 199 cm3,Fata,Euro 6,Manuala,SUV,Romania,Da,Da
51,Mercedes-Benz G 350 BlueTEC,49900,Mercedes-Benz,G,2012,250 000 km,Diesel,211 CP,2 987 cm3,4x4 (automat),Euro 5,Automata,SUV,,,Da
52,Land Rover Range Rover 3.6 TDV8,14000,Land Rover,Range Rover,2010,255 634 km,Diesel,272 CP,3 628 cm3,4x4 (automat),Euro 4,Automata,SUV,Belgia,Da,Da
53,Volkswagen Golf 1.4 TSI DSG Highline,7950,Volkswagen,Golf,2009,147 000 km,Benzina,122 CP,1 390 cm3,Fata,Euro 5,Automata,Compacta,Germania,Da,Da
54,Volkswagen Passat CC 2.0 TDI 4Motion BlueMotion Technology DSG,13990,Volkswagen,Passat CC,2014,199 000 km,Diesel,177 CP,1 968 cm3,4x4 (manual),,Automata,Sedan,,,Da
55,BMW i3 94 Ah,13900,BMW,i3,2017,136 000 km,Electric,170 CP,,Spate,,Automata,Masina de oras,Germania,,Da
56,Volkswagen Golf 1.6 TDI BlueMotion Technology Trendline,4599,Volkswagen,Golf,2012,272 000 km,Diesel,110 CP,1 598 cm3,,,Manuala,Combi,,,
57,Audi A3 35 TFSI Sportback advanced,22610,Audi,A3,2022,80 851 km,Benzina,150 CP,1 498 cm3,Fata,Euro 6d-Temp,Manuala,Compacta,,Da,Da
58,Skoda Octavia 2.0 TDI DSG Style,17838,Skoda,Octavia,2017,108 887 km,Diesel,150 CP,1 968 cm3,Fata,Euro 6,Automata,Sedan,,Da,Da
59,Mercedes-Benz GLC 300 de 4Matic 9G-TRONIC AMG Line Advanced,58298,Mercedes-Benz,GLC,2021,5 000 km,Hibrid,197 CP,1 993 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
60,Skoda Fabia 1.0 TSI Ambition,10800,Skoda,Fabia,2020,42 160 km,Benzina,95 CP,999 cm3,Fata,Euro 6,Manuala,Compacta,Romania,Da,Da
61,Audi A4,28101,Audi,A4,2019,70 510 km,Diesel,190 CP,1 968 cm3,,,Automata,Combi,,,
62,Mercedes-Benz GLC Coupe,49989,Mercedes-Benz,GLC Coupe,2019,76 240 km,Diesel,204 CP,2 143 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
63,Mazda CX-60,59490,Mazda,CX-60,2022,1 km,Hibrid,327 CP,2 488 cm3,4x4 (automat),Euro 6,Automata,SUV,Japonia,,Da
64,Volkswagen Golf,12497,Volkswagen,Golf,2016,145 902 km,Benzina,115 CP,999 cm3,Fata,Euro 6,Manuala,Compacta,Germania,,
65,Audi A8,86989,Audi,A8,2021,36 168 km,Diesel,286 CP,2 967 cm3,4x4 (automat),Euro 6,Automata,Sedan,,Da,Da
66,Audi A8,89768,Audi,A8,2021,35 100 km,Diesel,286 CP,2 967 cm3,4x4 (automat),Euro 6,Automata,Sedan,,Da,Da
67,Toyota Land Cruiser 2.8l D-4D 204 CP A/T 5 locuri,70733,Toyota,Land Cruiser,2022,10 km,Diesel,204 CP,2 755 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
68,Ford Focus 1.0 EcoBoost Titanium,12399,Ford,Focus,2019,117 000 km,Benzina,125 CP,999 cm3,Fata,Euro 6,Manuala,Compacta,,,
69,Opel Mokka 1.2 Turbo Start/Stop Elegance,23502,Opel,Mokka,2023,,Benzina,130 CP,1 199 cm3,Fata,Euro 6,Manuala,SUV,Romania,Da,Da
70,Opel Astra 1.6 Cosmo,4300,Opel,Astra,2010,138 000 km,Benzina,116 CP,1 598 cm3,Fata,Euro 5,Manuala,Compacta,Romania,,
71,Land Rover Range Rover 3.6 TDV8,14000,Land Rover,Range Rover,2010,255 634 km,Diesel,272 CP,3 628 cm3,4x4 (automat),Euro 4,Automata,SUV,Belgia,Da,Da
72,Volkswagen Polo 1.2 Attractive,2750,Volkswagen,Polo,2008,236 100 km,Benzina,64 CP,1 198 cm3,,,Manuala,Masina de oras,,,
73,Peugeot 3008 2.0 BlueHDI S&S EAT6 GT,17500,Peugeot,3008,2018,266 670 km,Diesel,180 CP,1 997 cm3,Fata,Euro 6,Automata,SUV,Italia,,
74,Volkswagen Passat CC 2.0 TDI 4Motion BlueMotion Technology DSG,13990,Volkswagen,Passat CC,2014,199 000 km,Diesel,177 CP,1 968 cm3,4x4 (manual),,Automata,Sedan,,,Da
75,Volkswagen Golf 1.6 TDI BlueMotion Technology Trendline,4599,Volkswagen,Golf,2012,272 000 km,Diesel,110 CP,1 598 cm3,,,Manuala,Combi,,,
76,Audi A3 35 TFSI Sportback advanced,22610,Audi,A3,2022,80 851 km,Benzina,150 CP,1 498 cm3,Fata,Euro 6d-Temp,Manuala,Compacta,,Da,Da
77,Mercedes-Benz GLK 220 CDI (BlueEFFICIENCY),6800,Mercedes-Benz,GLK,2012,264 000 km,Diesel,170 CP,2 143 cm3,Spate,Euro 5,Manuala,SUV,Germania,,
78,Ford Mondeo 2.0 TDCi Trend,4500,Ford,Mondeo,2008,242 000 km,Diesel,140 CP,1 997 cm3,Fata,,Manuala,Sedan,,,
79,Mini Cooper D Aut.,11690,Mini,Cooper,2014,141 000 km,Diesel,116 CP,1 496 cm3,Fata,Euro 6,Automata,Masina mica,Italia,Da,Da
80,Audi A4,28101,Audi,A4,2019,70 510 km,Diesel,190 CP,1 968 cm3,,,Automata,Combi,,,
81,Mercedes-Benz GLC Coupe,49989,Mercedes-Benz,GLC Coupe,2019,76 240 km,Diesel,204 CP,2 143 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
82,BMW X5,15300,BMW,X5,2013,235 000 km,Diesel,286 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,Statele Unite ale Americii,Da,
83,Toyota Land Cruiser 2.8l D-4D 204 CP A/T 5 locuri,70733,Toyota,Land Cruiser,2022,10 km,Diesel,204 CP,2 755 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
84,Ford Focus 1.0 EcoBoost Titanium,12399,Ford,Focus,2019,117 000 km,Benzina,125 CP,999 cm3,Fata,Euro 6,Manuala,Compacta,,,
85,Opel Mokka 1.2 Turbo Start/Stop Elegance,23502,Opel,Mokka,2023,,Benzina,130 CP,1 199 cm3,Fata,Euro 6,Manuala,SUV,Romania,Da,Da
86,Mercedes-Benz G 350 BlueTEC,49900,Mercedes-Benz,G,2012,250 000 km,Diesel,211 CP,2 987 cm3,4x4 (automat),Euro 5,Automata,SUV,,,Da
87,Land Rover Range Rover 3.6 TDV8,14000,Land Rover,Range Rover,2010,255 634 km,Diesel,272 CP,3 628 cm3,4x4 (automat),Euro 4,Automata,SUV,Belgia,Da,Da
88,Volkswagen Polo 1.2 Attractive,2750,Volkswagen,Polo,2008,236 100 km,Benzina,64 CP,1 198 cm3,,,Manuala,Masina de oras,,,
89,Volkswagen Golf 1.4 TSI DSG Highline,7950,Volkswagen,Golf,2009,147 000 km,Benzina,122 CP,1 390 cm3,Fata,Euro 5,Automata,Compacta,Germania,Da,Da
90,BMW i3 94 Ah,13900,BMW,i3,2017,136 000 km,Electric,170 CP,,Spate,,Automata,Masina de oras,Germania,,Da
91,Mercedes-Benz GLK 220 CDI (BlueEFFICIENCY),6800,Mercedes-Benz,GLK,2012,264 000 km,Diesel,170 CP,2 143 cm3,Spate,Euro 5,Manuala,SUV,Germania,,
92,Mercedes-Benz GLC 300 de 4Matic 9G-TRONIC AMG Line Advanced,58298,Mercedes-Benz,GLC,2021,5 000 km,Hibrid,197 CP,1 993 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
93,Ford Mondeo 2.0 TDCi Trend,4500,Ford,Mondeo,2008,242 000 km,Diesel,140 CP,1 997 cm3,Fata,,Manuala,Sedan,,,
94,Mazda CX-60,59490,Mazda,CX-60,2022,1 km,Hibrid,327 CP,2 488 cm3,4x4 (automat),Euro 6,Automata,SUV,Japonia,,Da
95,BMW X5,15300,BMW,X5,2013,235 000 km,Diesel,286 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,Statele Unite ale Americii,Da,
96,Audi A8,89768,Audi,A8,2021,35 100 km,Diesel,286 CP,2 967 cm3,4x4 (automat),Euro 6,Automata,Sedan,,Da,Da
97,Nissan Micra,3790,Nissan,Micra,2010,195 520 km,Benzina,80 CP,1 240 cm3,Fata,,Manuala,Masina de oras,Germania,,Da
98,Opel Astra 1.6 Cosmo,4300,Opel,Astra,2010,138 000 km,Benzina,116 CP,1 598 cm3,Fata,Euro 5,Manuala,Compacta,Romania,,
99,Mercedes-Benz G 350 BlueTEC,49900,Mercedes-Benz,G,2012,250 000 km,Diesel,211 CP,2 987 cm3,4x4 (automat),Euro 5,Automata,SUV,,,Da
100,Land Rover Range Rover 3.6 TDV8,14000,Land Rover,Range Rover,2010,255 634 km,Diesel,272 CP,3 628 cm3,4x4 (automat),Euro 4,Automata,SUV,Belgia,Da,Da
101,Volkswagen Golf 1.4 TSI DSG Highline,7950,Volkswagen,Golf,2009,147 000 km,Benzina,122 CP,1 390 cm3,Fata,Euro 5,Automata,Compacta,Germania,Da,Da
102,Volkswagen Passat CC 2.0 TDI 4Motion BlueMotion Technology DSG,13990,Volkswagen,Passat CC,2014,199 000 km,Diesel,177 CP,1 968 cm3,4x4 (manual),,Automata,Sedan,,,Da
103,BMW Seria 4 430d Coupe Sport-Aut. M Sport,22000,BMW,Seria 4,2014,260 000 km,Diesel,258 CP,2 993 cm3,Spate,,Automata,Coupe,Ungaria,,Da
104,BMW i3 94 Ah,13900,BMW,i3,2017,136 000 km,Electric,170 CP,,Spate,,Automata,Masina de oras,Germania,,Da
105,Volkswagen Golf 1.6 TDI BlueMotion Technology Trendline,4599,Volkswagen,Golf,2012,272 000 km,Diesel,110 CP,1 598 cm3,,,Manuala,Combi,,,
106,Audi A3 35 TFSI Sportback advanced,22610,Audi,A3,2022,80 851 km,Benzina,150 CP,1 498 cm3,Fata,Euro 6d-Temp,Manuala,Compacta,,Da,Da
107,Skoda Octavia 2.0 TDI DSG Style,17838,Skoda,Octavia,2017,108 887 km,Diesel,150 CP,1 968 cm3,Fata,Euro 6,Automata,Sedan,,Da,Da
108,Skoda Fabia 1.0 TSI Ambition,10800,Skoda,Fabia,2020,42 160 km,Benzina,95 CP,999 cm3,Fata,Euro 6,Manuala,Compacta,Romania,Da,Da
109,Mazda 3 SKYACTIV-D 150 Automatik Sports-Line,11750,Mazda,3,2014,167 000 km,Diesel,150 CP,2 184 cm3,Fata,Euro 6,Automata,Compacta,Italia,Da,Da
110,Mazda CX-60,59490,Mazda,CX-60,2022,1 km,Hibrid,327 CP,2 488 cm3,4x4 (automat),Euro 6,Automata,SUV,Japonia,,Da
111,Volkswagen Golf 1.9 TDI Trendline,5250,Volkswagen,Golf,2008,151 256 km,Diesel,105 CP,1 896 cm3,Fata,Euro 4,Manuala,Compacta,Germania,Da,Da
112,Volkswagen Golf,12497,Volkswagen,Golf,2016,145 902 km,Benzina,115 CP,999 cm3,Fata,Euro 6,Manuala,Compacta,Germania,,
113,Audi A8,86989,Audi,A8,2021,36 168 km,Diesel,286 CP,2 967 cm3,4x4 (automat),Euro 6,Automata,Sedan,,Da,Da
114,Audi A8,89768,Audi,A8,2021,35 100 km,Diesel,286 CP,2 967 cm3,4x4 (automat),Euro 6,Automata,Sedan,,Da,Da
115,Toyota Land Cruiser 2.8l D-4D 204 CP A/T 5 locuri,70733,Toyota,Land Cruiser,2022,10 km,Diesel,204 CP,2 755 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
116,Ford Focus 1.0 EcoBoost Titanium,12399,Ford,Focus,2019,117 000 km,Benzina,125 CP,999 cm3,Fata,Euro 6,Manuala,Compacta,,,
117,Opel Astra 1.6 Cosmo,4300,Opel,Astra,2010,138 000 km,Benzina,116 CP,1 598 cm3,Fata,Euro 5,Manuala,Compacta,Romania,,
118,Land Rover Range Rover 3.6 TDV8,14000,Land Rover,Range Rover,2010,255 634 km,Diesel,272 CP,3 628 cm3,4x4 (automat),Euro 4,Automata,SUV,Belgia,Da,Da
119,Volkswagen Polo 1.2 Attractive,2750,Volkswagen,Polo,2008,236 100 km,Benzina,64 CP,1 198 cm3,,,Manuala,Masina de oras,,,
120,Volkswagen Golf 1.4 TSI DSG Highline,7950,Volkswagen,Golf,2009,147 000 km,Benzina,122 CP,1 390 cm3,Fata,Euro 5,Automata,Compacta,Germania,Da,Da
121,Volkswagen Passat CC 2.0 TDI 4Motion BlueMotion Technology DSG,13990,Volkswagen,Passat CC,2014,199 000 km,Diesel,177 CP,1 968 cm3,4x4 (manual),,Automata,Sedan,,,Da
122,BMW Seria 4 430d Coupe Sport-Aut. M Sport,22000,BMW,Seria 4,2014,260 000 km,Diesel,258 CP,2 993 cm3,Spate,,Automata,Coupe,Ungaria,,Da
123,BMW i3 94 Ah,13900,BMW,i3,2017,136 000 km,Electric,170 CP,,Spate,,Automata,Masina de oras,Germania,,Da
124,Mercedes-Benz GLK 220 CDI (BlueEFFICIENCY),6800,Mercedes-Benz,GLK,2012,264 000 km,Diesel,170 CP,2 143 cm3,Spate,Euro 5,Manuala,SUV,Germania,,
125,Lynk&Co 01,32118,Lynk&Co,01,2021,36 687 km,Hibrid,179 CP,1 477 cm3,Fata,Euro 6,Automata,SUV,Germania,Da,Da
126,Mercedes-Benz GLC Coupe,63288,Mercedes-Benz,GLC Coupe,2020,66 674 km,Diesel,331 CP,2 925 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
127,Mini Cooper D Aut.,11690,Mini,Cooper,2014,141 000 km,Diesel,116 CP,1 496 cm3,Fata,Euro 6,Automata,Masina mica,Italia,Da,Da
128,Audi A4,28101,Audi,A4,2019,70 510 km,Diesel,190 CP,1 968 cm3,,,Automata,Combi,,,
129,Mercedes-Benz GLC Coupe,49989,Mercedes-Benz,GLC Coupe,2019,76 240 km,Diesel,204 CP,2 143 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
130,Volkswagen Golf 1.9 TDI Trendline,5250,Volkswagen,Golf,2008,151 256 km,Diesel,105 CP,1 896 cm3,Fata,Euro 4,Manuala,Compacta,Germania,Da,Da
131,Volkswagen Golf,12497,Volkswagen,Golf,2016,145 902 km,Benzina,115 CP,999 cm3,Fata,Euro 6,Manuala,Compacta,Germania,,
132,BMW X5,15300,BMW,X5,2013,235 000 km,Diesel,286 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,Statele Unite ale Americii,Da,
133,Ford Focus 1.0 EcoBoost Titanium,12399,Ford,Focus,2019,117 000 km,Benzina,125 CP,999 cm3,Fata,Euro 6,Manuala,Compacta,,,
134,Opel Mokka 1.2 Turbo Start/Stop Elegance,23502,Opel,Mokka,2023,,Benzina,130 CP,1 199 cm3,Fata,Euro 6,Manuala,SUV,Romania,Da,Da
135,Nissan Micra,3790,Nissan,Micra,2010,195 520 km,Benzina,80 CP,1 240 cm3,Fata,,Manuala,Masina de oras,Germania,,Da
136,Mercedes-Benz G 350 BlueTEC,49900,Mercedes-Benz,G,2012,250 000 km,Diesel,211 CP,2 987 cm3,4x4 (automat),Euro 5,Automata,SUV,,,Da
137,Volkswagen Polo 1.2 Attractive,2750,Volkswagen,Polo,2008,236 100 km,Benzina,64 CP,1 198 cm3,,,Manuala,Masina de oras,,,
138,Peugeot 3008 2.0 BlueHDI S&S EAT6 GT,17500,Peugeot,3008,2018,266 670 km,Diesel,180 CP,1 997 cm3,Fata,Euro 6,Automata,SUV,Italia,,
139,Volkswagen Golf 1.4 TSI DSG Highline,7950,Volkswagen,Golf,2009,147 000 km,Benzina,122 CP,1 390 cm3,Fata,Euro 5,Automata,Compacta,Germania,Da,Da
140,Volkswagen Passat CC 2.0 TDI 4Motion BlueMotion Technology DSG,13990,Volkswagen,Passat CC,2014,199 000 km,Diesel,177 CP,1 968 cm3,4x4 (manual),,Automata,Sedan,,,Da
141,Audi A3 35 TFSI Sportback advanced,22610,Audi,A3,2022,80 851 km,Benzina,150 CP,1 498 cm3,Fata,Euro 6d-Temp,Manuala,Compacta,,Da,Da
142,Mercedes-Benz GLK 220 CDI (BlueEFFICIENCY),6800,Mercedes-Benz,GLK,2012,264 000 km,Diesel,170 CP,2 143 cm3,Spate,Euro 5,Manuala,SUV,Germania,,
143,Skoda Fabia 1.0 TSI Ambition,10800,Skoda,Fabia,2020,42 160 km,Benzina,95 CP,999 cm3,Fata,Euro 6,Manuala,Compacta,Romania,Da,Da
144,Lynk&Co 01,32118,Lynk&Co,01,2021,36 687 km,Hibrid,179 CP,1 477 cm3,Fata,Euro 6,Automata,SUV,Germania,Da,Da
145,Mercedes-Benz GLC Coupe,49989,Mercedes-Benz,GLC Coupe,2019,76 240 km,Diesel,204 CP,2 143 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
146,Mazda CX-60,59490,Mazda,CX-60,2022,1 km,Hibrid,327 CP,2 488 cm3,4x4 (automat),Euro 6,Automata,SUV,Japonia,,Da
147,Volkswagen Golf 1.9 TDI Trendline,5250,Volkswagen,Golf,2008,151 256 km,Diesel,105 CP,1 896 cm3,Fata,Euro 4,Manuala,Compacta,Germania,Da,Da
148,Audi A8,89768,Audi,A8,2021,35 100 km,Diesel,286 CP,2 967 cm3,4x4 (automat),Euro 6,Automata,Sedan,,Da,Da
149,Toyota Land Cruiser 2.8l D-4D 204 CP A/T 5 locuri,70733,Toyota,Land Cruiser,2022,10 km,Diesel,204 CP,2 755 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,Da,Da
150,Ford Focus 1.0 EcoBoost Titanium,12399,Ford,Focus,2019,117 000 km,Benzina,125 CP,999 cm3,Fata,Euro 6,Manuala,Compacta,,,
151,Nissan Micra,3790,Nissan,Micra,2010,195 520 km,Benzina,80 CP,1 240 cm3,Fata,,Manuala,Masina de oras,Germania,,Da
152,Opel Astra 1.6 Cosmo,4300,Opel,Astra,2010,138 000 km,Benzina,116 CP,1 598 cm3,Fata,Euro 5,Manuala,Compacta,Romania,,
153,Land Rover Range Rover 3.6 TDV8,14000,Land Rover,Range Rover,2010,255 634 km,Diesel,272 CP,3 628 cm3,4x4 (automat),Euro 4,Automata,SUV,Belgia,Da,Da
154,Mercedes-Benz GLE 350 de 4Matic 9G-TRONIC AMG Line,94356,Mercedes-Benz,GLE,2022,1 km,Hibrid,194 CP,1 950 cm3,4x4 (manual),Euro 6d,Automata,SUV,,,Da
