,title,price,make,model,year,mileage,fuel_type,engine_power,engine_capacity,transmission,pollution_standard,gearbox,body_type,country_origin,original_owner,no_accident
16,Nissan Qashqai 1.5 dCi DPF acenta,7500,Nissan,Qashqai,2012,215 000 km,Diesel,110 CP,1 461 cm3,,,Manuala,SUV,,,
17,Mercedes-Benz C 200 CDI DPF (BlueEFFICIENCY),8500,Mercedes-Benz,C,2012,336 435 km,Diesel,136 CP,2 143 cm3,,,Manuala,Sedan,,,
18,Seat Leon 2.0 TDI FR,3450,Seat,Leon,2007,273 849 km,Diesel,170 CP,1 968 cm3,Fata,Euro 4,Manuala,Compacta,Franta,,Da
19,Fiat Tipo 1.4 Easy,9850,Fiat,Tipo,2018,20 015 km,Benzina,95 CP,1 368 cm3,Fata,Euro 6,Manuala,Compacta,Romania,Da,
20,Mini Cooper D,4000,Mini,Cooper,2008,206 000 km,Diesel,109 CP,1 560 cm3,,,Manuala,Masina de oras,,,
21,Volkswagen Golf,13000,Volkswagen,Golf,2019,163 000 km,Diesel,115 CP,1 598 cm3,Fata,Euro 6,Manuala,Combi,Germania,,Da
22,Audi Q5 2.0 TDI Quattro,10450,Audi,Q5,2010,255 000 km,Diesel,170 CP,1 968 cm3,,,Manuala,SUV,,,
23,Nissan Note,3600,Nissan,Note,2006,150 000 km,Diesel,90 CP,1 495 cm3,,,Manuala,Compacta,Franta,Da,
24,Mercedes-Benz A 200 CDI 7G-DCT Style,11900,Mercedes-Benz,A,2015,158 305 km,Diesel,136 CP,2 143 cm3,Fata,Euro 6,Automata,Compacta,,,Da
25,Mercedes-Benz CLS 450 4Matic 9G-TRONIC AMG Line,54000,Mercedes-Benz,CLS,2018,104 000 km,Benzina,367 CP,2 999 cm3,,,Automata,Sedan,Germania,Da,Da
26,Mercedes-Benz CLA,23900,Mercedes-Benz,CLA,2019,78 000 km,Diesel,136 CP,2 143 cm3,Fata,Euro 6,Automata,Sedan,Romania,,Da
27,Volvo XC 60,34877,Volvo,XC 60,2018,42 363 km,Hibrid,320 CP,1 969 cm3,4x4 (automat),Euro 6,Automata,SUV,Italia,,Da
28,Skoda Kamiq 1.0 TSI DSG Style,19950,Skoda,Kamiq,2022,21 000 km,Benzina,110 CP,999 cm3,Fata,Euro 6,Automata,SUV,,,
29,Renault Laguna,6649,Renault,Laguna,2012,174 156 km,Diesel,130 CP,1 995 cm3,Fata,Euro 5,Manuala,Sedan,Belgia,,Da
30,Mazda 5,3799,Mazda,5,2008,205 000 km,Diesel,110 CP,1 998 cm3,,,Manuala,Monovolum,,Da,Da
31,BMW Seria 5 520d Touring Aut. Luxury Line,12050,BMW,Seria 5,2014,241 234 km,Diesel,184 CP,1 995 cm3,,,Automata,Combi,,,
32,Hyundai I30,16389,Hyundai,I30,2022,7 km,Benzina,110 CP,1 498 cm3,Fata,,Manuala,Compacta,Romania,Da,Da
33,Toyota RAV4 2.5 4x4 Hybrid Style Selection,29738,Toyota,RAV4,2018,87 423 km,Hibrid,155 CP,2 494 cm3,4x4 (automat),Euro 6,Automata,SUV,,Da,Da
34,Audi RS5,49980,Audi,RS5,2017,112 500 km,Benzina,450 CP,2 898 cm3,,Euro 6,Automata,Coupe,,,Da
35,Volkswagen Passat,4990,Volkswagen,Passat,2006,302 000 km,Diesel,140 CP,1 968 cm3,,,Automata,Combi,,,
36,Volkswagen Polo,16750,Volkswagen,Polo,2019,132 000 km,Diesel,95 CP,1 598 cm3,,Euro 6,Manuala,Masina de oras,Germania,Da,Da
37,Nissan Qashqai 1.5 dCi DPF acenta,7500,Nissan,Qashqai,2012,215 000 km,Diesel,110 CP,1 461 cm3,,,Manuala,SUV,,,
38,Land Rover Range Rover Velar 2.0 HSE,43990,Land Rover,Range Rover Velar,2020,175 000 km,Diesel,179 CP,1 999 cm3,,,Automata,SUV,,,
39,Mini Cooper D,4000,Mini,Cooper,2008,206 000 km,Diesel,109 CP,1 560 cm3,,,Manuala,Masina de oras,,,
40,Mercedes-Benz CLS 450 4Matic 9G-TRONIC AMG Line,54000,Mercedes-Benz,CLS,2018,104 000 km,Benzina,367 CP,2 999 cm3,,,Automata,Sedan,Germania,Da,Da
41,Mercedes-Benz CLA,23900,Mercedes-Benz,CLA,2019,78 000 km,Diesel,136 CP,2 143 cm3,Fata,Euro 6,Automata,Sedan,Romania,,Da
42,Mercedes-Benz C,6800,Mercedes-Benz,C,2008,170 000 km,Benzina,183 CP,1 796 cm3,Spate,Euro 4,Manuala,Sedan,Romania,,
43,Volkswagen Passat Variant 2.0 TDI Comfortline,3850,Volkswagen,Passat,2006,325 169 km,Diesel,140 CP,1 968 cm3,Fata,Euro 4,Manuala,Combi,Germania,,
44,Volvo XC 60,34877,Volvo,XC 60,2018,42 363 km,Hibrid,320 CP,1 969 cm3,4x4 (automat),Euro 6,Automata,SUV,Italia,,Da
45,Skoda Kamiq 1.0 TSI DSG Style,19950,Skoda,Kamiq,2022,21 000 km,Benzina,110 CP,999 cm3,Fata,Euro 6,Automata,SUV,,,
46,Renault Laguna,6649,Renault,Laguna,2012,174 156 km,Diesel,130 CP,1 995 cm3,Fata,Euro 5,Manuala,Sedan,Belgia,,Da
47,Mazda 5,3799,Mazda,5,2008,205 000 km,Diesel,110 CP,1 998 cm3,,,Manuala,Monovolum,,Da,Da
48,Hyundai I30,16389,Hyundai,I30,2022,7 km,Benzina,110 CP,1 498 cm3,Fata,,Manuala,Compacta,Romania,Da,Da
49,Smart Fortwo coupe twinamic,11376,Smart,Fortwo,2019,54 000 km,Benzina,71 CP,999 cm3,,Euro 6,Automata,Compacta,Germania,,Da
50,Toyota RAV4 2.5 4x4 Hybrid Style Selection,29738,Toyota,RAV4,2018,87 423 km,Hibrid,155 CP,2 494 cm3,4x4 (automat),Euro 6,Automata,SUV,,Da,Da
51,Audi RS5,49980,Audi,RS5,2017,112 500 km,Benzina,450 CP,2 898 cm3,,Euro 6,Automata,Coupe,,,Da
52,Volkswagen Polo,16750,Volkswagen,Polo,2019,132 000 km,Diesel,95 CP,1 598 cm3,,Euro 6,Manuala,Masina de oras,Germania,Da,Da
53,Peugeot 3008,18500,Peugeot,3008,2019,106 000 km,Benzina,180 CP,1 598 cm3,Fata,Euro 6,Automata,SUV,,Da,
54,Chevrolet Cruze 1.7 LT,4990,Chevrolet,Cruze,2012,201 000 km,Diesel,130 CP,1 686 cm3,Fata,Euro 5,Manuala,Combi,Italia,,Da
55,Volkswagen Sharan 2.0 TDI DSG BlueMotion Technology Highline,10900,Volkswagen,Sharan,2012,214 000 km,Diesel,170 CP,1 968 cm3,Fata,Euro 5,Automata,Monovolum,Germania,,
56,Nissan Qashqai 1.5 dCi DPF acenta,7500,Nissan,Qashqai,2012,215 000 km,Diesel,110 CP,1 461 cm3,,,Manuala,SUV,,,
57,Mercedes-Benz A 200 CDI 7G-DCT Style,11900,Mercedes-Benz,A,2015,158 305 km,Diesel,136 CP,2 143 cm3,Fata,Euro 6,Automata,Compacta,,,Da
58,Mercedes-Benz CLS 450 4Matic 9G-TRONIC AMG Line,54000,Mercedes-Benz,CLS,2018,104 000 km,Benzina,367 CP,2 999 cm3,,,Automata,Sedan,Germania,Da,Da
59,Volkswagen Passat Variant 2.0 TDI Comfortline,3850,Volkswagen,Passat,2006,325 169 km,Diesel,140 CP,1 968 cm3,Fata,Euro 4,Manuala,Combi,Germania,,
60,Volvo XC 60,34877,Volvo,XC 60,2018,42 363 km,Hibrid,320 CP,1 969 cm3,4x4 (automat),Euro 6,Automata,SUV,Italia,,Da
61,Skoda Kamiq 1.0 TSI DSG Style,19950,Skoda,Kamiq,2022,21 000 km,Benzina,110 CP,999 cm3,Fata,Euro 6,Automata,SUV,,,
62,Volkswagen Polo 1.6 TDI Blue Motion Technology Trendline,4899,Volkswagen,Polo,2010,195 247 km,Diesel,90 CP,1 598 cm3,Fata,Euro 5,Manuala,Masina de oras,Germania,,Da
63,Renault Laguna,6649,Renault,Laguna,2012,174 156 km,Diesel,130 CP,1 995 cm3,Fata,Euro 5,Manuala,Sedan,Belgia,,Da
64,BMW Seria 5 520d Touring Aut. Luxury Line,12050,BMW,Seria 5,2014,241 234 km,Diesel,184 CP,1 995 cm3,,,Automata,Combi,,,
65,Hyundai I30,16389,Hyundai,I30,2022,7 km,Benzina,110 CP,1 498 cm3,Fata,,Manuala,Compacta,Romania,Da,Da
66,Smart Fortwo coupe twinamic,11376,Smart,Fortwo,2019,54 000 km,Benzina,71 CP,999 cm3,,Euro 6,Automata,Compacta,Germania,,Da
67,Toyota RAV4 2.5 4x4 Hybrid Style Selection,29738,Toyota,RAV4,2018,87 423 km,Hibrid,155 CP,2 494 cm3,4x4 (automat),Euro 6,Automata,SUV,,Da,Da
68,Volkswagen Polo,16750,Volkswagen,Polo,2019,132 000 km,Diesel,95 CP,1 598 cm3,,Euro 6,Manuala,Masina de oras,Germania,Da,Da
69,Ford Focus 2.0 TDCi DPF Aut. SYNC Edition,5900,Ford,Focus,2014,260 000 km,Diesel,115 CP,1 998 cm3,,,Automata,Compacta,,,
70,Land Rover Range Rover Velar 2.0 HSE,43990,Land Rover,Range Rover Velar,2020,175 000 km,Diesel,179 CP,1 999 cm3,,,Automata,SUV,,,
71,Nissan Qashqai,11989,Nissan,Qashqai,2012,160 000 km,Diesel,130 CP,1 598 cm3,Fata,Euro 6,Automata,SUV,Romania,Da,Da
72,Mini Cooper D,4000,Mini,Cooper,2008,206 000 km,Diesel,109 CP,1 560 cm3,,,Manuala,Masina de oras,,,
73,Volkswagen Golf,13000,Volkswagen,Golf,2019,163 000 km,Diesel,115 CP,1 598 cm3,Fata,Euro 6,Manuala,Combi,Germania,,Da
74,Audi A4,7750,Audi,A4,2010,191 000 km,Benzina,120 CP,1 798 cm3,Fata,Euro 5,Automata,Combi,Germania,,Da
75,Audi Q5 2.0 TDI Quattro,10450,Audi,Q5,2010,255 000 km,Diesel,170 CP,1 968 cm3,,,Manuala,SUV,,,
76,Mercedes-Benz CLS 450 4Matic 9G-TRONIC AMG Line,54000,Mercedes-Benz,CLS,2018,104 000 km,Benzina,367 CP,2 999 cm3,,,Automata,Sedan,Germania,Da,Da
77,Mercedes-Benz CLA,23900,Mercedes-Benz,CLA,2019,78 000 km,Diesel,136 CP,2 143 cm3,Fata,Euro 6,Automata,Sedan,Romania,,Da
78,Mercedes-Benz C,6800,Mercedes-Benz,C,2008,170 000 km,Benzina,183 CP,1 796 cm3,Spate,Euro 4,Manuala,Sedan,Romania,,
79,Volkswagen Passat Variant 2.0 TDI Comfortline,3850,Volkswagen,Passat,2006,325 169 km,Diesel,140 CP,1 968 cm3,Fata,Euro 4,Manuala,Combi,Germania,,
80,Renault Laguna,6649,Renault,Laguna,2012,174 156 km,Diesel,130 CP,1 995 cm3,Fata,Euro 5,Manuala,Sedan,Belgia,,Da
81,Toyota RAV4 2.5 4x4 Hybrid Style Selection,29738,Toyota,RAV4,2018,87 423 km,Hibrid,155 CP,2 494 cm3,4x4 (automat),Euro 6,Automata,SUV,,Da,Da
82,Peugeot 3008,18500,Peugeot,3008,2019,106 000 km,Benzina,180 CP,1 598 cm3,Fata,Euro 6,Automata,SUV,,Da,
83,Chevrolet Cruze 1.7 LT,4990,Chevrolet,Cruze,2012,201 000 km,Diesel,130 CP,1 686 cm3,Fata,Euro 5,Manuala,Combi,Italia,,Da
84,Nissan Qashqai 1.5 dCi DPF acenta,7500,Nissan,Qashqai,2012,215 000 km,Diesel,110 CP,1 461 cm3,,,Manuala,SUV,,,
85,Porsche Cayenne Coupe S,85000,Porsche,Cayenne Coupe,2020,78 000 km,Benzina,440 CP,2 995 cm3,4x4 (automat),Euro 6,Automata,Coupe,,,
86,Jeep Wrangler Unlimited 2.8 CRD AT Sahara,37900,Jeep,Wrangler,2016,110 000 km,Diesel,200 CP,2 776 cm3,4x4 (automat),Euro 5,Automata,SUV,Germania,Da,Da
87,Mitsubishi Outlander 2.4 Comfort 4x4 Aut,3300,Mitsubishi,Outlander,2005,127 100 km,Benzina + GPL,160 CP,2 378 cm3,4x4 (automat),,Automata,SUV,Romania,,
88,Land Rover Range Rover Velar 2.0 HSE,43990,Land Rover,Range Rover Velar,2020,175 000 km,Diesel,179 CP,1 999 cm3,,,Automata,SUV,,,
89,Mini Cooper D,4000,Mini,Cooper,2008,206 000 km,Diesel,109 CP,1 560 cm3,,,Manuala,Masina de oras,,,
90,Audi A4,7750,Audi,A4,2010,191 000 km,Benzina,120 CP,1 798 cm3,Fata,Euro 5,Automata,Combi,Germania,,Da
91,Audi Q5 2.0 TDI Quattro,10450,Audi,Q5,2010,255 000 km,Diesel,170 CP,1 968 cm3,,,Manuala,SUV,,,
92,Mercedes-Benz A 200 CDI 7G-DCT Style,11900,Mercedes-Benz,A,2015,158 305 km,Diesel,136 CP,2 143 cm3,Fata,Euro 6,Automata,Compacta,,,Da
93,Mercedes-Benz C,6800,Mercedes-Benz,C,2008,170 000 km,Benzina,183 CP,1 796 cm3,Spate,Euro 4,Manuala,Sedan,Romania,,
94,Skoda Kamiq 1.0 TSI DSG Style,19950,Skoda,Kamiq,2022,21 000 km,Benzina,110 CP,999 cm3,Fata,Euro 6,Automata,SUV,,,
95,Renault Laguna,6649,Renault,Laguna,2012,174 156 km,Diesel,130 CP,1 995 cm3,Fata,Euro 5,Manuala,Sedan,Belgia,,Da
96,BMW Seria 5 520d Touring Aut. Luxury Line,12050,BMW,Seria 5,2014,241 234 km,Diesel,184 CP,1 995 cm3,,,Automata,Combi,,,
97,Opel Zafira 1.6 ECOFLEX Family Plus,3700,Opel,Zafira,2009,245 000 km,Benzina + GPL,115 CP,1 598 cm3,,,Manuala,Monovolum,,,
98,Hyundai I30,16389,Hyundai,I30,2022,7 km,Benzina,110 CP,1 498 cm3,Fata,,Manuala,Compacta,Romania,Da,Da
99,Smart Fortwo coupe twinamic,11376,Smart,Fortwo,2019,54 000 km,Benzina,71 CP,999 cm3,,Euro 6,Automata,Compacta,Germania,,Da
100,Volkswagen Passat,4990,Volkswagen,Passat,2006,302 000 km,Diesel,140 CP,1 968 cm3,,,Automata,Combi,,,
101,Volkswagen Polo,16750,Volkswagen,Polo,2019,132 000 km,Diesel,95 CP,1 598 cm3,,Euro 6,Manuala,Masina de oras,Germania,Da,Da
102,Mitsubishi Outlander 2.4 Comfort 4x4 Aut,3300,Mitsubishi,Outlander,2005,127 100 km,Benzina + GPL,160 CP,2 378 cm3,4x4 (automat),,Automata,SUV,Romania,,
103,Land Rover Range Rover Velar 2.0 HSE,43990,Land Rover,Range Rover Velar,2020,175 000 km,Diesel,179 CP,1 999 cm3,,,Automata,SUV,,,
104,Audi A4,7750,Audi,A4,2010,191 000 km,Benzina,120 CP,1 798 cm3,Fata,Euro 5,Automata,Combi,Germania,,Da
105,Renault Megane,2750,Renault,Megane,2008,233 000 km,Diesel,110 CP,1 461 cm3,Fata,,Manuala,Combi,Germania,Da,Da
106,Audi Q5 2.0 TDI Quattro,10450,Audi,Q5,2010,255 000 km,Diesel,170 CP,1 968 cm3,,,Manuala,SUV,,,
107,Nissan Note,3600,Nissan,Note,2006,150 000 km,Diesel,90 CP,1 495 cm3,,,Manuala,Compacta,Franta,Da,
108,Mercedes-Benz A 200 CDI 7G-DCT Style,11900,Mercedes-Benz,A,2015,158 305 km,Diesel,136 CP,2 143 cm3,Fata,Euro 6,Automata,Compacta,,,Da
109,Skoda Kamiq 1.0 TSI DSG Style,19950,Skoda,Kamiq,2022,21 000 km,Benzina,110 CP,999 cm3,Fata,Euro 6,Automata,SUV,,,
110,BMW Seria 5 520d Touring Aut. Luxury Line,12050,BMW,Seria 5,2014,241 234 km,Diesel,184 CP,1 995 cm3,,,Automata,Combi,,,
111,Toyota RAV4 2.5 4x4 Hybrid Style Selection,29738,Toyota,RAV4,2018,87 423 km,Hibrid,155 CP,2 494 cm3,4x4 (automat),Euro 6,Automata,SUV,,Da,Da
112,Volkswagen Passat,4990,Volkswagen,Passat,2006,302 000 km,Diesel,140 CP,1 968 cm3,,,Automata,Combi,,,
113,Volkswagen Polo,16750,Volkswagen,Polo,2019,132 000 km,Diesel,95 CP,1 598 cm3,,Euro 6,Manuala,Masina de oras,Germania,Da,Da
114,Peugeot 3008,18500,Peugeot,3008,2019,106 000 km,Benzina,180 CP,1 598 cm3,Fata,Euro 6,Automata,SUV,,Da,
115,Porsche Cayenne Coupe S,85000,Porsche,Cayenne Coupe,2020,78 000 km,Benzina,440 CP,2 995 cm3,4x4 (automat),Euro 6,Automata,Coupe,,,
116,Jeep Wrangler Unlimited 2.8 CRD AT Sahara,37900,Jeep,Wrangler,2016,110 000 km,Diesel,200 CP,2 776 cm3,4x4 (automat),Euro 5,Automata,SUV,Germania,Da,Da
117,Land Rover Range Rover Velar 2.0 HSE,43990,Land Rover,Range Rover Velar,2020,175 000 km,Diesel,179 CP,1 999 cm3,,,Automata,SUV,,,
118,Nissan Qashqai,11989,Nissan,Qashqai,2012,160 000 km,Diesel,130 CP,1 598 cm3,Fata,Euro 6,Automata,SUV,Romania,Da,Da
119,Mini Cooper D,4000,Mini,Cooper,2008,206 000 km,Diesel,109 CP,1 560 cm3,,,Manuala,Masina de oras,,,
120,Audi A4,7750,Audi,A4,2010,191 000 km,Benzina,120 CP,1 798 cm3,Fata,Euro 5,Automata,Combi,Germania,,Da
121,Audi Q5 2.0 TDI Quattro,10450,Audi,Q5,2010,255 000 km,Diesel,170 CP,1 968 cm3,,,Manuala,SUV,,,
122,Nissan Note,3600,Nissan,Note,2006,150 000 km,Diesel,90 CP,1 495 cm3,,,Manuala,Compacta,Franta,Da,
123,Mercedes-Benz CLS 450 4Matic 9G-TRONIC AMG Line,54000,Mercedes-Benz,CLS,2018,104 000 km,Benzina,367 CP,2 999 cm3,,,Automata,Sedan,Germania,Da,Da
124,Mercedes-Benz CLA,23900,Mercedes-Benz,CLA,2019,78 000 km,Diesel,136 CP,2 143 cm3,Fata,Euro 6,Automata,Sedan,Romania,,Da
125,Mercedes-Benz C,6800,Mercedes-Benz,C,2008,170 000 km,Benzina,183 CP,1 796 cm3,Spate,Euro 4,Manuala,Sedan,Romania,,
126,Volkswagen Passat Variant 2.0 TDI Comfortline,3850,Volkswagen,Passat,2006,325 169 km,Diesel,140 CP,1 968 cm3,Fata,Euro 4,Manuala,Combi,Germania,,
127,Mazda 5,3799,Mazda,5,2008,205 000 km,Diesel,110 CP,1 998 cm3,,,Manuala,Monovolum,,Da,Da
128,BMW Seria 5 520d Touring Aut. Luxury Line,12050,BMW,Seria 5,2014,241 234 km,Diesel,184 CP,1 995 cm3,,,Automata,Combi,,,
129,Hyundai I30,16389,Hyundai,I30,2022,7 km,Benzina,110 CP,1 498 cm3,Fata,,Manuala,Compacta,Romania,Da,Da
130,Smart Fortwo coupe twinamic,11376,Smart,Fortwo,2019,54 000 km,Benzina,71 CP,999 cm3,,Euro 6,Automata,Compacta,Germania,,Da
131,Toyota RAV4 2.5 4x4 Hybrid Style Selection,29738,Toyota,RAV4,2018,87 423 km,Hibrid,155 CP,2 494 cm3,4x4 (automat),Euro 6,Automata,SUV,,Da,Da
132,Citroën C-Elysée 1.2 PureTech BVM Feel,8532,Citroën,C-Elysée,2019,116 700 km,Benzina,82 CP,1 199 cm3,Fata,Euro 6,Manuala,Sedan,Romania,Da,Da
133,Audi RS5,49980,Audi,RS5,2017,112 500 km,Benzina,450 CP,2 898 cm3,,Euro 6,Automata,Coupe,,,Da
134,Land Rover Discovery Sport 2.0 l TD4 HSE Aut.,26000,Land Rover,Discovery Sport,2017,86 000 km,Diesel,150 CP,1 999 cm3,4x4 (automat),Euro 6,Automata,SUV,Romania,Da,Da
135,Porsche Cayenne Coupe S,85000,Porsche,Cayenne Coupe,2020,78 000 km,Benzina,440 CP,2 995 cm3,4x4 (automat),Euro 6,Automata,Coupe,,,
136,Jeep Wrangler Unlimited 2.8 CRD AT Sahara,37900,Jeep,Wrangler,2016,110 000 km,Diesel,200 CP,2 776 cm3,4x4 (automat),Euro 5,Automata,SUV,Germania,Da,Da
137,Renault Megane,2750,Renault,Megane,2008,233 000 km,Diesel,110 CP,1 461 cm3,Fata,,Manuala,Combi,Germania,Da,Da
138,Mercedes-Benz CLS 450 4Matic 9G-TRONIC AMG Line,54000,Mercedes-Benz,CLS,2018,104 000 km,Benzina,367 CP,2 999 cm3,,,Automata,Sedan,Germania,Da,Da
139,Mercedes-Benz C,6800,Mercedes-Benz,C,2008,170 000 km,Benzina,183 CP,1 796 cm3,Spate,Euro 4,Manuala,Sedan,Romania,,
140,BMW Seria 5 520d Touring Aut. Luxury Line,12050,BMW,Seria 5,2014,241 234 km,Diesel,184 CP,1 995 cm3,,,Automata,Combi,,,
141,BMW X2 xDrive20d Aut. M Sport,20990,BMW,X2,2019,190 000 km,Diesel,190 CP,1 995 cm3,4x4 (automat),Euro 6d-Temp,Automata,SUV,,,Da
142,BMW Seria 3 318d,5900,BMW,Seria 3,2010,193 166 km,Diesel,143 CP,1 995 cm3,,,Manuala,Combi,,,
143,Volkswagen Golf Variant 1.6 TDI SCR Trendline,14498,Volkswagen,Golf,2020,167 499 km,Diesel,115 CP,1 598 cm3,Fata,Euro 6,Manuala,Combi,Germania,Da,Da
144,Jeep Wrangler Unlimited 2.8 CRD AT Sahara,37900,Jeep,Wrangler,2016,110 000 km,Diesel,200 CP,2 776 cm3,4x4 (automat),Euro 5,Automata,SUV,Germania,Da,Da
145,Mini Cooper D,4000,Mini,Cooper,2008,206 000 km,Diesel,109 CP,1 560 cm3,,,Manuala,Masina de oras,,,
146,Mercedes-Benz CLS 450 4Matic 9G-TRONIC AMG Line,54000,Mercedes-Benz,CLS,2018,104 000 km,Benzina,367 CP,2 999 cm3,,,Automata,Sedan,Germania,Da,Da
147,Volvo XC 60,34877,Volvo,XC 60,2018,42 363 km,Hibrid,320 CP,1 969 cm3,4x4 (automat),Euro 6,Automata,SUV,Italia,,Da
148,Skoda Kamiq 1.0 TSI DSG Style,19950,Skoda,Kamiq,2022,21 000 km,Benzina,110 CP,999 cm3,Fata,Euro 6,Automata,SUV,,,
149,Volkswagen Polo 1.6 TDI Blue Motion Technology Trendline,4899,Volkswagen,Polo,2010,195 247 km,Diesel,90 CP,1 598 cm3,Fata,Euro 5,Manuala,Masina de oras,Germania,,Da
150,Renault Laguna,6649,Renault,Laguna,2012,174 156 km,Diesel,130 CP,1 995 cm3,Fata,Euro 5,Manuala,Sedan,Belgia,,Da
151,Mazda 5,3799,Mazda,5,2008,205 000 km,Diesel,110 CP,1 998 cm3,,,Manuala,Monovolum,,Da,Da
152,BMW Seria 5 520d Touring Aut. Luxury Line,12050,BMW,Seria 5,2014,241 234 km,Diesel,184 CP,1 995 cm3,,,Automata,Combi,,,
153,BMW Seria 3 318d,5900,BMW,Seria 3,2010,193 166 km,Diesel,143 CP,1 995 cm3,,,Manuala,Combi,,,
154,Land Rover Discovery Sport 2.0 l TD4 HSE Aut.,26000,Land Rover,Discovery Sport,2017,86 000 km,Diesel,150 CP,1 999 cm3,4x4 (automat),Euro 6,Automata,SUV,Romania,Da,Da
155,Jeep Wrangler Unlimited 2.8 CRD AT Sahara,37900,Jeep,Wrangler,2016,110 000 km,Diesel,200 CP,2 776 cm3,4x4 (automat),Euro 5,Automata,SUV,Germania,Da,Da
156,Ford Fiesta 1.1 COOL&CONNECT,3200,Ford,Fiesta,2018,64 000 km,Benzina,72 CP,1 084 cm3,,,Manuala,Masina de oras,,,
157,Land Rover Range Rover Velar 2.0 HSE,43990,Land Rover,Range Rover Velar,2020,175 000 km,Diesel,179 CP,1 999 cm3,,,Automata,SUV,,,
158,Nissan Qashqai,11989,Nissan,Qashqai,2012,160 000 km,Diesel,130 CP,1 598 cm3,Fata,Euro 6,Automata,SUV,Romania,Da,Da
159,Mini Cooper D,4000,Mini,Cooper,2008,206 000 km,Diesel,109 CP,1 560 cm3,,,Manuala,Masina de oras,,,
160,Volkswagen Golf,13000,Volkswagen,Golf,2019,163 000 km,Diesel,115 CP,1 598 cm3,Fata,Euro 6,Manuala,Combi,Germania,,Da
161,Audi A4,7750,Audi,A4,2010,191 000 km,Benzina,120 CP,1 798 cm3,Fata,Euro 5,Automata,Combi,Germania,,Da
162,Renault Megane,2750,Renault,Megane,2008,233 000 km,Diesel,110 CP,1 461 cm3,Fata,,Manuala,Combi,Germania,Da,Da
163,Audi Q5 2.0 TDI Quattro,10450,Audi,Q5,2010,255 000 km,Diesel,170 CP,1 968 cm3,,,Manuala,SUV,,,
164,Nissan Note,3600,Nissan,Note,2006,150 000 km,Diesel,90 CP,1 495 cm3,,,Manuala,Compacta,Franta,Da,
165,Mercedes-Benz CLA,23900,Mercedes-Benz,CLA,2019,78 000 km,Diesel,136 CP,2 143 cm3,Fata,Euro 6,Automata,Sedan,Romania,,Da
166,Volvo XC 60,34877,Volvo,XC 60,2018,42 363 km,Hibrid,320 CP,1 969 cm3,4x4 (automat),Euro 6,Automata,SUV,Italia,,Da
167,Mazda 5,3799,Mazda,5,2008,205 000 km,Diesel,110 CP,1 998 cm3,,,Manuala,Monovolum,,Da,Da
